Latest: Time (s)	Latest: Force (N)	Latest: Position (m)	Latest: Velocity (m/s)	Latest: Acceleration (m/s²)
0.05	898.656898657	1.1491872	0.00243911111111	0.0201565432099
0.1	898.656898657	1.1491872	0.00442088888889	-0.0116450617284
0.15	897.435897436	1.149736	0.00365866666667	-0.0652462222222
0.2	904.761904762	1.149736	-0.000914666666667	-0.141349876543
0.25	904.761904762	1.149736	-0.00990888888889	-0.212321234568
0.3	902.31990232	1.1491872	-0.0245435555556	-0.219265925926
0.35	903.540903541	1.1475408	-0.0429893333333	-0.0265083950617
0.4	899.877899878	1.142876	-0.0251533333333	0.13550617284
0.45	901.098901099	1.1458944	-0.02058	0.134235802469
0.5	903.540903541	1.1406808	-0.0111284444444	0.0737661728395
0.55	907.203907204	1.1447968	-0.00792711111111	-0.113740493827
0.6	903.540903541	1.140132	-0.0143297777778	-0.394407654321
0.65	910.866910867	1.14562	-0.0565568888889	-0.455470123457
0.7	908.424908425	1.1343696	-0.0931435555556	0.0796945679012
0.75	907.203907204	1.1316256	-0.0468004444444	0.607067654321
0.8	892.551892552	1.1302536	-0.00503066666667	0.70056691358
0.85	882.783882784	1.1327232	0.0198177777778	0.840646419753
0.9	868.131868132	1.1316256	0.056252	1.35607802469
0.95	815.628815629	1.1349184	0.156712888889	1.88887135802
1	794.871794872	1.1478152	0.257936	2.22136962963
1.05	830.280830281	1.1604376	0.373184	2.6120508642
1.1	758.241758242	1.1834872	0.519683111111	2.93404740741
1.15	735.042735043	1.2117504	0.679749777778	2.9730054321
1.2	708.180708181	1.2518128	0.833108888889	2.65600567901
1.25	750.915750916	1.29654	0.953387555556	2.13828740741
1.3	787.545787546	1.3481272	1.04790311111	1.58957209877
1.35	816.84981685	1.4030072	1.10659422222	1.13943753086
1.4	855.921855922	1.4589848	1.15491911111	0.785088888889
1.45	871.794871795	1.5182552	1.19668888889	0.203852098765
1.5	896.214896215	1.5808184	1.19104844444	-0.672788148148
1.55	947.496947497	1.6400888	1.12625955556	-1.53223604938
1.6	1014.65201465	1.69442	1.03067688889	-2.32596345679
1.65	1064.71306471	1.7440864	0.902166222222	-3.36715901235
1.7	1144.07814408	1.786344	0.723806222222	-5.10951432099
1.75	1252.74725275	1.8209184	0.428521333333	-7.66389037037
1.8	1424.90842491	1.8349128	-0.0147871111111	-10.6235992593
1.85	1498.16849817	1.8299736	-0.671670222222	-12.6183348148
1.9	1492.06349206	1.7709776	-1.39547644444	-12.1459264198
1.95	1400.48840049	1.682072	-1.96074044444	-9.96986666667
2	1416.36141636	1.5692936	-2.39520711111	-7.40117777778
2.05	1603.17460317	1.4370328	-2.69125422222	-4.66327555556
2.1	1782.66178266	1.2995584	-2.90421911111	-0.961077530864
2.15	1382.17338217	1.1382112	-2.89293822222	4.46442024691
2.2	92.7960927961	0.9859192	-2.41167111111	8.86108740741
2.25	100.122100122	0.8939952	-1.826132	9.86222395062
2.3	107.448107448	0.8138704	-1.38754933333	9.7333237037
2.35	109.89010989	0.7510328	-0.892562222222	9.96470049383
2.4	111.111111111	0.7224952	-0.37044	9.85798938272
2.45	111.111111111	0.717556	0.101223111111	9.57876197531
2.5	111.111111111	0.7310016	0.588740444444	9.17774839506
2.55	111.111111111	0.7771008	1.04531155556	8.41908320988
2.6	108.669108669	0.8413104	1.40797688889	8.15679407407
2.65	111.111111111	0.9184168	1.79533822222	8.47015209877
2.7	109.89010989	1.0086944	2.32843644444	6.55384074074
2.75	774.114774115	1.146992	2.81412444444	-1.98194716049
2.8	2213.67521368	1.3464808	2.24443955556	-12.352488642
2.85	2330.89133089	1.3955984	1.16376088889	-15.1217266667
2.9	1754.57875458	1.435112	0.491176	-12.6132533333
2.95	1617.82661783	1.4416976	-0.074088	-9.43199185185
3	1106.22710623	1.4216664	-0.446662222222	-6.19839111111
3.05	990.231990232	1.3906592	-0.675786222222	-3.51545358025
3.1	888.888888889	1.3489504	-0.773960444444	-1.4464437037
3.15	858.363858364	1.3094368	-0.782649777778	-0.237643950617
3.2	880.341880342	1.2699232	-0.765271111111	0.34172962963
3.25	891.330891331	1.2348	-0.760088	1.10437530864
3.3	846.153846154	1.1917192	-0.69972	2.57360098765
3.35	706.95970696	1.156596	-0.486450222222	3.66510320988
3.4	637.362637363	1.1431504	-0.264643555556	3.41416271605
3.45	676.434676435	1.1340952	-0.114790666667	2.41920864198
3.5	866.910866911	1.1335464	-0.0196653333333	1.26418790123
3.55	987.78998779	1.1354672	0.000304888888889	0.371795061728
3.6	935.286935287	1.1349184	-0.0102137777778	0.0603849382716
3.65	854.700854701	1.1335464	-0.0100613333333	0.109421234568
3.7	859.584859585	1.1329976	0.00533555555556	0.129239012346
3.75	910.866910867	1.134644	0.0121955555556	-0.00355703703704
3.8	934.065934066	1.1351928	0.00167688888889	-0.0923982716049
3.85	904.761904762	1.1343696	-0.00304888888889	-0.0803720987654
3.9	903.540903541	1.134644	-0.00472577777778	-0.0807108641975
3.95	896.214896215	1.1340952	-0.00899422222222	-0.101290864198
4	899.877899878	1.1340952	-0.0181408888889	-0.0605543209877
4.05	897.435897436	1.1319	-0.0201226666667	0.0705479012346
4.1	907.203907204	1.1313512	-0.00868933333333	0.16980617284
4.15	901.098901099	1.1313512	1.23E-16	0.210881481481
4.2	901.098901099	1.1313512	0.0102137777778	0.255429135802
4.25	899.877899878	1.1316256	0.0304888888889	0.187252592593
4.3	898.656898657	1.1349184	0.0394831111111	-0.0619940740741
4.35	898.656898657	1.1371136	0.0207324444444	-0.242810123457
4.4	893.772893773	1.1368392	0.002744	-0.194027901235
4.45	893.772893773	1.1365648	-0.001372	-0.0713101234568
4.5	896.214896215	1.1365648	-0.000609777777778	-0.00271012345678
4.55	899.877899878	1.1365648	0.000457333333334	0.0146516049383
4.6	897.435897436	1.1365648	0.00213422222222	-0.0107558024691
4.65	894.993894994	1.1368392	0.00121955555556	-0.0761375308642
4.7	891.330891331	1.1368392	-0.00335377777778	-0.169890864198
4.75	888.888888889	1.1371136	-0.0193604444444	-0.176598419753
4.8	897.435897436	1.134644	-0.028812	-0.0204190864198
4.85	902.31990232	1.1338208	-0.0272875555556	0.241937802469
4.9	903.540903541	1.130528	-0.0010976	0.430071185185
4.95	899.877899878	1.1335464	0.0290406666667	0.39223108642
5	896.214896215	1.1354672	0.0375013333333	0.285257432099
