"Latest: Time (s)";"Latest: Force (N)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,05;83,0280830281;1,9416544;-5,29348088889;46,9725711605
0,1;81,8070818071;1,5692936;-2,80589244444;41,3440851358
0,15;84,2490842491;1,5816416;-0,536543466667;30,4730854815
0,2;85,4700854701;1,6088072;0,322724888889;17,2821523951
0,25;85,4700854701;1,6222528;0,801248;9,26758898765
0,3;86,6910866911;1,6389912;1,71469511111;-3,92175190123
0,35;85,4700854701;1,9479656;0,212507555556;-11,5793412346
0,4;86,6910866911;1,640912;-0,899117333333;3,93111876543
0,45;86,6910866911;1,6403632;1,36849377778;6,57670740741
0,5;86,6910866911;1,9197024;1,30248533333;-15,1987111111
0,55;86,6910866911;1,9301296;-1,28998488889;-18,7896246914
0,6;85,4700854701;1,6466744;-1,75417822222;-2,27133753086
0,65;84,2490842491;1,6672544;-0,653681777778;2,48636888889
0,7;81,8070818071;1,6955176;-1,14394311111;0,933468148148
0,75;89,1330891331;1,5212736;-1,10735644444;6,50124740741
0,8;186,813186813;1,5300544;-0,262052;7,90458320988
0,85;383,394383394;1,5347192;-0,00304888888889;4,14886024691
0,9;681,318681319;1,5402072;0,0591484444444;1,28502197531
0,95;689,865689866;1,5404816;0,0265253333333;0,176158024691
1;589,743589744;1,5410304;0,031556;0,382127407407
1,05;507,936507937;1,5429512;0,0586911111111;0,902301728395
1,1;456,654456654;1,5456952;0,118144444444;1,50166246914
1,15;429,792429792;1,5528296;0,218300444444;1,8084145679
1,2;318,681318681;1,566824;0,328670222222;1,40596123457
1,25;-26,862026862;1,5868552;0,401691111111;0,10848962963
1,3;57,3870573871;1,6121;0,362970222222;-1,58618444444
1,35;78,1440781441;1,6291128;0,204428;-2,43555407407
1,4;75,7020757021;1,6324056;0,0463431111111;-1,70187283951
1,45;91,5750915751;1,6291128;-0,0144822222222;0,258308641975
1,5;89,1330891331;1,6252712;0,0428368888889;3,29694987654
1,55;85,4700854701;1,6307592;0,268912;7,06224296296
1,6;85,4700854701;1,6453024;0,666029777778;10,9544883951
1,65;80,5860805861;1,6527112;1,72932977778;7,62984444444
1,7;79,3650793651;1,8653712;1,91820844444;-4,17130345679
1,75;72,0390720391;1,9100984;0,933722222222;-9,49424
1,8;69,5970695971;1,919428;0,512518222222;-6,30366246914
1,85;72,0390720391;1,9446728;0,381568444444;-2,99053654321
1,9;57,3870573871;1,9636064;0,270893777778;0,0259155555556
1,95;51,2820512821;1,9693688;0,294065333333;4,10566765432
2;53,7240537241;1,9767776;0,628833333333;8,13714567901
2,05;35,409035409;2,0033944;1,41895288889;6,15824740741
2,1;46,398046398;2,15404;1,56911066667;-1,6496182716
2,15;47,619047619;2,1990416;1,009792;-5,41448790123
2,2;295,482295482;2,2333416;0,746063111111;-3,98159481481
2,25;582,417582418;2,2632512;0,655511111111;-2,55911876543
2,3;616,605616606;2,3011184;0,580508444444;-2,50898148148
2,35;578,754578755;2,3271864;0,406416888889;-2,72469037037
2,4;437,118437118;2,3395344;0,262814222222;-2,19240518519
2,45;399,267399267;2,3499616;0,18522;-1,50547358025
2,5;372,405372405;2,3590168;0,111741777778;-0,784580740741
2,55;378,51037851;2,3576448;0,106253777778;-0,158711604938
2,6;407,814407814;2,3677976;0,130797333333;-0,170144938272
2,65;474,969474969;2,3743832;0,100918222222;-0,400166666667
2,7;385,836385836;2,3784992;0,0585386666667;-0,0979879012346
2,75;365,079365079;2,376304;0,0865884444444;0,299299259259
2,8;349,206349206;2,3883776;0,100765777778;0,427860740741
2,85;369,963369963;2,3839872;0,148938222222;0,158880987654
2,9;363,858363858;2,4059392;0,145432;-0,564213827161
2,95;376,068376068;2,4042928;0,0492395555556;-0,541601234568
3;367,521367521;2,4045672;0,0545751111111;0,0845219753086
3,05;389,499389499;2,4067624;0,106863555556;-0,0724111111111
3,1;379,731379731;2,4210312;0,0698195555556;-0,62383654321
3,15;368,742368742;2,41472;0,00929911111111;-0,618162222222
3,2;367,521367521;2,418836;-0,00228666666667;-0,371879753086
3,25;344,322344322;2,4155432;-0,0250008888889;-0,115603703704
3,3;311,355311355;2,41472;-0,0135675555556;0,106795802469
3,35;288,156288156;2,4141712;-0,00365866666667;0,113486419753
3,4;271,062271062;2,41472;0,00213422222222;0,0353162962963
3,45;268,62026862;2,4149944;-0,00381111111111;0,0128730864198
3,5;269,841269841;2,4138968;-0,00289644444444;0,120769876543
3,55;267,399267399;2,4144456;0,00792711111111;0,21308345679
3,6;266,178266178;2,4144456;0,0201226666667;0,216132345679
3,65;271,062271062;2,41472;0,0541177777778;-0,182001728395
3,7;272,283272283;2,4248728;0,00472577777778;-0,577764444444
3,75;272,283272283;2,4158176;-0,0533555555556;-0,121108641975
3,8;271,062271062;2,413348;-0,00807955555556;0,36959308642
3,85;271,062271062;2,4163664;0,0198177777778;0,256191358025
3,9;274,725274725;2,4171896;0,0202751111111;0,0282869135802
3,95;277,167277167;2,4182872;0,0141773333333;-0,0818965432099
4;288,156288156;2,4185616;0,00807955555555;-0,0764762962963
4,05;307,692307692;2,4193848;-0,000152444444444;0,0566585185185
4,1;362,637362637;2,417464;0,0141773333333;0,101460246914
4,15;407,814407814;2,420208;0,0294217777778;-0,291253580247
4,2;424,908424908;2,4210312;0,0216471111111;-1,32440345679
4,25;404,151404151;2,4289888;-0,110064888889;-2,15022888889
4,3;393,162393162;2,410604;-0,253667555556;-1,79113753086
4,35;396,825396825;2,3999024;-0,325164;-0,683628641975
4,4;401,709401709;2,3741088;-0,314645333333;0,349182469136
4,45;389,499389499;2,3661512;-0,249856444444;0,634168888889
4,5;332,112332112;2,3527056;-0,240709777778;0,629256790123
4,55;267,399267399;2,3400832;-0,198177777778;0,742997283951
4,6;285,714285714;2,3329488;-0,158542222222;0,69328345679
4,65;304,029304029;2,3247168;-0,125919111111;0,535334074074
4,7;299,145299145;2,3195032;-0,0885702222222;0,0490362962963
4,75;282,051282051;2,31868;-0,108692888889;-0,589739802469
4,8;273,504273504;2,3112712;-0,175311111111;-0,638166320988
4,85;236,874236874;2,3000208;-0,214641777778;0,141807209877
4,9;192,918192918;2,2854776;-0,173237866667;1,15654518519
4,95;190,476190476;2,2791664;-0,0670755555556;1,67592340741
5;184,371184371;2,2838312;0,0231715555555;1,82140622222
