"Latest: Time (s)";"Latest: Force (N)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,05;943,833943834;1,1472664;-0,000914666666666;-0,00398049382716
0,1;938,94993895;1,1472664;-0,00160066666667;0,00715641975308
0,15;941,391941392;1,146992;-0,000457333333333;0,0184203703704
0,2;940,170940171;1,1472664;0,000304888888889;0,027482345679
0,25;935,286935287;1,146992;0,00167688888889;0,0466225925926
0,3;945,054945055;1,1472664;0,00594533333333;0,051492345679
0,35;943,833943834;1,1478152;0,00670755555556;0,0645348148148
0,4;942,612942613;1,1478152;0,0100613333333;0,133812345679
0,45;941,391941392;1,1486384;0,0176835555556;0,291592345679
0,5;946,275946276;1,1494616;0,0314035555556;0,684221481481
0,55;947,496947497;1,151108;0,0673804444444;1,55213851852
0,6;907,203907204;1,1544008;0,156712888889;3,06938419753
0,65;753,357753358;1,1623584;0,351079555556;5,00432765432
0,7;529,914529915;1,1834872;0,675938666667;6,46000271605
0,75;495,726495726;1,2273912;1,05567777778;6,61998469136
0,8;656,898656899;1,2907776;1,40126933333;5,33665654321
0,85;798,534798535;1,373372;1,620332;3,15043382716
0,9;761,904761905;1,4559664;1,736952;0,351638518519
0,95;978,021978022;1,5533784;1,69213333333;-3,18854493827
1;1147,74114774;1,635424;1,41620888889;-6,71797259259
1,05;1326,00732601;1,699908;0,997596444444;-9,73781234568
1,1;1511,5995116;1,7418912;0,416783111111;-12,0019511111
1,15;1637,36263736;1,7460072;-0,26068;-12,8674967901
1,2;1623,93162393;1,7155488;-0,937838222222;-12,0987533333
1,25;1593,40659341;1,6483208;-1,52474933333;-9,89152716049
1,3;1576,31257631;1,5580432;-1,986656;-6,0410345679
1,35;1617,82661783;1,4425208;-2,19321822222;-1,08523506173
1,4;1654,45665446;1,325352;-2,15099111111;4,48838790123
1,45;910,866910867;1,1928168;-1,47886355556;5,80042641975
1,5;101,343101343;1,2284888;-1,54990266667;6,40436049383
1,55;117,216117216;1,012536;-1,18510311111;12,0070325926
1,6;108,669108669;1,057812;0,0199702222222;11,1470765432
1,65;111,111111111;1,0778432;0,177902666667;6,04213555556
1,7;108,669108669;1,0731784;0,362512888889;4,98281604938
1,75;111,111111111;1,1069296;0,581575555556;5,8895217284
1,8;111,111111111;1,1272352;0,943021333333;7,18098024691
1,85;109,89010989;1,195012;1,38175644444;6,61854493827
1,9;111,111111111;1,2666304;1,784972;2,52913802469
1,95;109,89010989;1,402184;1,63466177778;-2,09280814815
2;106,227106227;1,42002;1,53907911111;-5,82930617284
2,05;106,227106227;1,5769768;1,06970266667;-9,20696691358
2,1;109,89010989;1,5432256;0,325164;-7,3686562963
2,15;111,111111111;1,5624336;0,353061333333;-5,65831432099
2,2;111,111111111;1,602496;-0,0175311111111;-7,34104691358
2,25;109,89010989;1,57094;-0,509316888889;-6,84932888889
2,3;108,669108669;1,5402072;-0,824572;-4,29241209877
2,35;111,111111111;1,4779184;-0,933569777778;-1,45643728395
2,4;113,553113553;1,4406;-0,880366666667;0,00127037037037
2,45;109,89010989;1,4010864;-0,966497777778;1,79977604938
