"Latest: Time (s)";"Latest: Force (N)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,05;186,813186813;1,9197024;-0,00396355555556;0,0344693827161
0,1;186,813186813;1,919428;-0,00221044444445;0,034003580247
0,15;189,255189255;1,919428;-0,000457333333334;0,0334107407408
0,2;188,034188034;1,919428;0,000762222222223;0,0366290123457
0,25;188,034188034;1,919428;0,00320133333334;0,0362902469136
0,3;188,034188034;1,9197024;0,00594533333334;0,00821506172839
0,35;188,034188034;1,9202512;0,00457333333333;-0,0285409876543
0,4;186,813186813;1,9202512;0,001372;-0,0348081481482
0,45;185,592185592;1,9202512;0,000152444444444;-0,0201565432099
0,5;184,371184371;1,9202512;-0,00030488888889;-0,00762222222224
0,55;183,15018315;1,9202512;-0,000914666666669;0,00677530864197
0,6;181,929181929;1,9199768;0,00121955555555;0,00499679012348
0,65;185,592185592;1,9205256;0,000914666666668;-0,0174464197531
0,7;184,371184371;1,9202512;-0,00243911111111;-0,00516617283951
0,75;186,813186813;1,9199768;-0,000914666666667;0,0437854320988
0,8;185,592185592;1,9202512;0,00121955555556;0,27956617284
0,85;185,592185592;1,9199768;0,00625022222222;1,25334740741
0,9;184,371184371;1,9199768;0,0310986666667;4,78048839506
0,95;184,371184371;1,923544;0,339036444444;9,18122074074
1;185,592185592;1,9232696;0,964820888889;10,158474321
1,05;186,813186813;1,9347944;2,71808444444;-11,8184249383
1,1;188,034188034;2,4564288;-0,0115857777778;-35,6238106173
1,15;192,918192918;1,9460448;-2,99187466667;-21,6486355556
1,2;206,349206349;1,9465936;-2,46167288889;-0,126782962963
1,25;219,78021978;1,731464;-2,11470933333;8,1666182716
1,3;244,2002442;1,7364032;-1,45355777778;10,875471358
1,35;271,062271062;1,5950872;-1,07869688889;12,1161150617
1,4;343,101343101;1,5945384;-0,124242222222;10,8472691358
1,45;438,339438339;1,6131976;0,247569777778;5,18616
1,5;484,737484737;1,6365216;0,296656888889;1,08582790123
1,55;503,052503053;1,6444792;0,223331111111;-0,543549135802
1,6;509,157509158;1,656004;0,187354222222;-0,63798
1,65;467,643467643;1,6631384;0,159152;-0,471053333333
1,7;260,073260073;1,6713704;0,146346666667;-0,386277283951
1,75;105,006105006;1,677956;0,127748444444;-0,469867654321
1,8;162,393162393;1,6842672;0,104576888889;-0,635185185185
1,85;158,73015873;1,6897552;0,058996;-0,678039012346
1,9;156,288156288;1,6900296;0,0179884444444;-0,370609382716
1,95;161,172161172;1,6892064;0,0196653333333;0,00228666666666
2;161,172161172;1,6919504;0,0294217777778;0,16591037037
2,05;163,614163614;1,6922248;0,0400928888889;0,180900740741
2,1;163,614163614;1,6949688;0,0625022222222;-0,134235802469
2,15;162,393162393;1,7007312;0,0402453333333;-0,717928641975
2,2;162,393162393;1,7004568;-0,0158542222222;-1,17678641975
2,25;159,951159951;1,6996336;-0,0875031111111;-1,36945925926
2,3;158,73015873;1,6927736;-0,174853777778;-1,05584716049
2,35;158,73015873;1,6801512;-0,216318666667;-0,290576049383
2,4;158,73015873;1,668352;-0,201836444444;0,404570617284
2,45;158,73015873;1,6576504;-0,142992888889;0,476388888889
2,5;158,73015873;1,6568272;-0,129577777778;0,0723264197531
2,55;158,73015873;1,6466744;-0,155036;0,00736814814815
2,6;158,73015873;1,63954;-0,151529777778;0,453945679012
2,65;158,73015873;1,6321312;-0,128663111111;1,19973777778
2,7;159,951159951;1,6214296;-0,0339951111111;2,01167382716
2,75;159,951159951;1,6219784;0,150005333333;2,27269259259
2,8;162,393162393;1,6623152;0,0570142222222;4,7650745679
2,85;162,393162393;1,6085328;0,332328888889;10,2378301235
2,9;162,393162393;1,6123744;1,73725688889;4,46077851852
2,95;161,172161172;1,8829328;1,49380311111;-11,9946676543
3;161,172161172;1,8862256;-0,759478222222;-7,07376098765
3,05;159,951159951;1,6077096;0,175616;8,21353728395
3,1;159,951159951;1,8889696;1,40736711111;2,06392839506
3,15;159,951159951;1,8886952;0,452912444444;-6,16849506173
3,2;159,951159951;1,8865;0,142688;-4,60780271605
3,25;158,73015873;1,8865;0,00670755555556;-2,02437753086
3,3;155,067155067;1,8873232;0,026068;-0,208933580247
3,35;152,625152625;1,889244;0,0413124444444;0,149819012346
3,4;148,962148962;1,891988;0,0478675555556;0,21308345679
3,45;145,299145299;1,8944576;0,0498493333333;0,414394814815
3,5;141,636141636;1,8950064;0,0867408888889;0,645178765432
3,55;141,636141636;1,9026896;0,131407111111;0,565653580247
3,6;142,857142857;1,9095496;0,151834666667;0,316660987654
3,65;140,415140415;1,9186048;0,156712888889;0,16633382716
3,7;135,531135531;1,9251904;0,159609333333;0,190470864198
3,75;133,089133089;1,9339712;0,173481777778;0,281937530864
3,8;137,973137973;1,9424776;0,189945777778;0,348759012346
3,85;144,078144078;1,9529048;0,209001333333;0,406772592593
3,9;146,52014652;1,963332;0,229428888889;0,497222962963
3,95;148,962148962;1,97568;0,255344444444;0,669146419753
4;147,741147741;1,9885768;0,290864;0,940412839506
4,05;147,741147741;2,0036688;0,348640444444;1,20583555556
4,1;148,962148962;2,0226024;0,422576;1,25300864198
4,15;147,741147741;2,0467496;0,482639111111;1,12275333333
4,2;148,962148962;2,0714456;0,532640888889;0,987077777778
4,25;148,962148962;2,0999832;0,579441333333;0,819134814815
4,3;151,404151404;2,1287952;0,628833333333;0,339273580247
4,35;151,404151404;2,1647416;0,635388444444;-0,576070617284
4,4;151,404151404;2,1954744;0,573038666667;-1,53968888889
4,45;152,625152625;2,2237376;0,468614222222;-2,24762395062
4,5;151,404151404;2,2437688;0,330347111111;-2,59257185185
4,55;150,183150183;2,255568;0,204428;-2,76932271605
4,6;150,183150183;2,265172;0,0602155555556;-2,94175432099
4,65;148,962148962;2,2638;-0,115095555556;-2,57563358025
4,7;146,52014652;2,2506288;-0,229428888889;-1,58796296296
4,75;144,078144078;2,2374576;-0,271503555556;-0,611014271605
4,8;146,52014652;2,2218168;-0,271198666667;-0,0065466419753
4,85;153,846153846;2,2097432;-0,251990666667;0,174726740741
4,9;153,846153846;2,197944;-0,2529968;0,272291185185
4,95;151,404151404;2,1831264;-0,231791777778;0,456986098766
5;153,846153846;2,1748944;-0,197872888889;0,583066123457
