p	l	V	1/V	p_err	V_err	1/V_err
1.05	25	315	0.00317460317460317	0.1	10	0.000100781053162006
1.1	24	302.4	0.00330687830687831	0.1	10	0.000109354441365023
1.2	21.7	273.42	0.00365737692926633	0.1	10	0.000133764060027296
1.3	19.7	248.22	0.00402868423172992	0.1	10	0.000162302966389893
1.4	18.2	229.32	0.00436071864643293	0.1	10	0.000190158671133479
1.5	16.8	211.68	0.00472411186696901	0.1	10	0.000223172329316374
1.6	15.8	199.08	0.00502310628892907	0.1	10	0.000252315967898788
1.7	14.9	187.74	0.00532651539362949	0.1	10	0.000283717662385719
1.8	14	176.4	0.00566893424036281	0.1	10	0.000321368154215579
1.9	13.2	166.32	0.00601250601250601	0.1	10	0.00036150228550421
2	12.6	158.76	0.00629881582262535	0.1	10	0.000396750807673554
