l	p	V	1/V	p_err	V_err	1/V_err
0.25	105000	0.0000315	31746.0317460317	10000	0.000001	1007.81053162006
0.24	110000	0.00003024	33068.7830687831	10001	0.000001	1093.54441365023
0.217	120000	0.000027342	36573.7692926633	10002	0.000001	1337.64060027296
0.197	130000	0.000024822	40286.8423172992	10003	0.000001	1623.02966389893
0.182	140000	0.000022932	43607.1864643293	10004	0.000001	1901.58671133479
0.168	150000	0.000021168	47241.1186696901	10005	0.000001	2231.72329316374
0.158	160000	0.000019908	50231.0628892907	10006	0.000001	2523.15967898788
0.149	170000	0.000018774	53265.1539362949	10007	0.000001	2837.17662385719
0.14	180000	0.00001764	56689.3424036281	10008	0.000001	3213.68154215579
0.132	190000	0.000016632	60125.0601250601	10009	0.000001	3615.02285504209
0.126	200000	0.000015876	62988.1582262535	10010	0.000001	3967.50807673554
