V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	200_1100_1035_13
Date of Measurement	2008-4-24 0:43:56
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	55,648
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:200_1100_1035_13	Y:200_1100_1035_13
0	300,3	0,07507
1	300,8	0,07422
2	301,4	0,07338
3	302	0,06852
4	302,6	0,06643
5	303,1	0,0654
6	303,7	0,06437
7	304,3	0,06184
8	304,8	0,06502
9	305,4	0,06819
10	306	0,06715
11	306,5	0,06611
12	307,1	0,06055
13	307,7	0,05499
14	308,2	0,05517
15	308,8	0,05535
16	309,4	0,05918
17	309,9	0,05978
18	310,5	0,05946
19	311,1	0,05914
20	311,6	0,06076
21	312,2	0,06239
22	312,8	0,06122
23	313,4	0,06021
24	313,9	0,06016
25	314,5	0,06011
26	315,1	0,05779
27	315,7	0,05593
28	316,2	0,05407
29	316,8	0,05449
30	317,4	0,05491
31	318	0,05548
32	318,5	0,05544
33	319,1	0,05268
34	319,7	0,05277
35	320,3	0,05287
36	320,8	0,05434
37	321,4	0,05582
38	322	0,05704
39	322,6	0,05558
40	323,1	0,05587
41	323,7	0,05617
42	324,3	0,05739
43	324,9	0,05862
44	325,4	0,05251
45	326	0,05245
46	326,6	0,05125
47	327,2	0,05005
48	327,7	0,04928
49	328,3	0,05029
50	328,9	0,0513
51	329,5	0,0489
52	330	0,05312
53	330,6	0,05298
54	331,2	0,05284
55	331,8	0,05081
56	332,3	0,05101
57	332,9	0,05121
58	333,5	0,05139
59	334,1	0,05158
60	334,6	0,05208
61	335,2	0,05258
62	335,8	0,0518
63	336,4	0,05103
64	336,9	0,05289
65	337,5	0,05476
66	338,1	0,05414
67	338,7	0,05353
68	339,2	0,05497
69	339,8	0,05641
70	340,4	0,05616
71	341	0,05591
72	341,6	0,05243
73	342,1	0,05318
74	342,7	0,05394
75	343,3	0,05193
76	343,9	0,05212
77	344,4	0,0523
78	345	0,05118
79	345,6	0,05007
80	346,2	0,05233
81	346,7	0,05459
82	347,3	0,05404
83	347,9	0,0535
84	348,5	0,05368
85	349	0,05387
86	349,6	0,05504
87	350,2	0,0562
88	350,8	0,05854
89	351,3	0,05561
90	351,9	0,05538
91	352,5	0,05516
92	353,1	0,05343
93	353,6	0,05544
94	354,2	0,05746
95	354,8	0,05264
96	355,4	0,05333
97	355,9	0,05402
98	356,5	0,0569
99	357,1	0,05979
100	357,7	0,05316
101	358,2	0,04654
102	358,8	0,04833
103	359,4	0,05013
104	360	0,0504
105	360,5	0,05068
106	361,1	0,05024
107	361,7	0,05084
108	362,3	0,05145
109	362,8	0,05179
110	363,4	0,05353
111	364	0,05195
112	364,6	0,05551
113	365,1	0,05906
114	365,7	0,05244
115	366,3	0,04753
116	366,9	0,04811
117	367,5	0,04869
118	368	0,04871
119	368,6	0,04874
120	369,2	0,04999
121	369,8	0,04308
122	370,4	0,04351
123	370,9	0,04393
124	371,5	0,04582
125	372,1	0,04726
126	372,7	0,04786
127	373,3	0,04845
128	373,8	0,04651
129	374,4	0,04457
130	375	0,04287
131	375,6	0,04117
132	376,2	0,0421
133	376,7	0,04304
134	377,3	0,04034
135	377,9	0,03964
136	378,5	0,03842
137	379,1	0,03721
138	379,6	0,0369
139	380,2	0,03659
140	380,8	0,03562
141	381,4	0,03638
142	382	0,03714
143	382,5	0,03727
144	383,1	0,03741
145	383,7	0,03644
146	384,3	0,03934
147	384,9	0,03756
148	385,4	0,03767
149	386	0,03778
150	386,6	0,04017
151	387,2	0,041
152	387,8	0,04183
153	388,3	0,04289
154	388,9	0,04395
155	389,5	0,04627
156	390,1	0,04646
157	390,7	0,04545
158	391,2	0,04888
159	391,8	0,04886
160	392,4	0,05263
161	393	0,05641
162	393,6	0,05889
163	394,1	0,06188
164	394,7	0,06485
165	395,3	0,06783
166	395,9	0,06967
167	396,5	0,07151
168	397	0,07189
169	397,6	0,07666
170	398,2	0,07846
171	398,8	0,08675
172	399,4	0,09289
173	399,9	0,09904
174	400,5	0,09971
175	401,1	0,1018
176	401,7	0,1052
177	402,3	0,111
178	402,8	0,1114
179	403,4	0,1117
180	404	0,1214
181	404,6	0,128
182	405,2	0,129
183	405,7	0,1391
184	406,3	0,1429
185	406,9	0,1453
186	407,5	0,1497
187	408	0,1514
188	408,6	0,1531
189	409,2	0,1533
190	409,8	0,1637
191	410,4	0,1651
192	410,9	0,1713
193	411,5	0,1747
194	412,1	0,1804
195	412,7	0,1848
196	413,2	0,1865
197	413,8	0,1882
198	414,4	0,195
199	415	0,1981
200	415,6	0,2065
201	416,1	0,2096
202	416,7	0,2247
203	417,3	0,2284
204	417,9	0,2354
205	418,4	0,2423
206	419	0,2426
207	419,6	0,2492
208	420,2	0,2588
209	420,8	0,2673
210	421,3	0,2678
211	421,9	0,2683
212	422,5	0,2851
213	423,1	0,2915
214	423,6	0,2949
215	424,2	0,302
216	424,8	0,3062
217	425,4	0,3143
218	425,9	0,3201
219	426,5	0,3218
220	427,1	0,3082
221	427,7	0,3118
222	428,3	0,3154
223	428,8	0,3295
224	429,4	0,3469
225	430	0,3594
226	430,6	0,3818
227	431,1	0,383
228	431,7	0,3892
229	432,3	0,3954
230	432,9	0,4033
231	433,5	0,4099
232	434	0,4092
233	434,6	0,4084
234	435,2	0,409
235	435,8	0,4096
236	436,3	0,4157
237	436,9	0,4337
238	437,5	0,4623
239	438,1	0,457
240	438,7	0,4581
241	439,2	0,4592
242	439,8	0,4666
243	440,4	0,4637
244	441	0,4627
245	441,6	0,4652
246	442,1	0,4677
247	442,7	0,4787
248	443,3	0,5
249	443,9	0,503
250	444,5	0,5109
251	445	0,5281
252	445,6	0,5299
253	446,2	0,5371
254	446,8	0,5431
255	447,4	0,561
256	447,9	0,555
257	448,5	0,5547
258	449,1	0,5446
259	449,7	0,5417
260	450,3	0,5454
261	450,8	0,5491
262	451,4	0,5744
263	452	0,5836
264	452,6	0,583
265	453,2	0,5848
266	453,7	0,5865
267	454,3	0,5986
268	454,9	0,6015
269	455,5	0,5967
270	456,1	0,596
271	456,6	0,6011
272	457,2	0,6063
273	457,8	0,6071
274	458,4	0,6079
275	459	0,6113
276	459,5	0,6147
277	460,1	0,6095
278	460,7	0,6239
279	461,3	0,6383
280	461,9	0,6642
281	462,4	0,6636
282	463	0,6391
283	463,6	0,6298
284	464,2	0,6285
285	464,8	0,6272
286	465,3	0,6261
287	465,9	0,6325
288	466,5	0,6389
289	467,1	0,6468
290	467,7	0,633
291	468,2	0,6025
292	468,8	0,5929
293	469,4	0,5927
294	470	0,5639
