V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	200_1100_1035_9
Date of Measurement	2008-4-24 0:39:49
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	43,475
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:200_1100_1035_9	Y:200_1100_1035_9
0	300,3	0,1025
1	300,8	0,101
2	301,4	0,09955
3	302	0,09182
4	302,6	0,089
5	303,1	0,08696
6	303,7	0,0867
7	304,3	0,08644
8	304,8	0,08683
9	305,4	0,08721
10	306	0,08825
11	306,5	0,08816
12	307,1	0,08558
13	307,7	0,08306
14	308,2	0,08069
15	308,8	0,08003
16	309,4	0,08023
17	309,9	0,08044
18	310,5	0,08264
19	311,1	0,08679
20	311,6	0,08517
21	312,2	0,08659
22	312,8	0,08802
23	313,4	0,07818
24	313,9	0,07998
25	314,5	0,08177
26	315,1	0,07968
27	315,7	0,0776
28	316,2	0,07612
29	316,8	0,077
30	317,4	0,07787
31	318	0,07857
32	318,5	0,07655
33	319,1	0,07952
34	319,7	0,0825
35	320,3	0,08032
36	320,8	0,07814
37	321,4	0,07912
38	322	0,0801
39	322,6	0,08146
40	323,1	0,07864
41	323,7	0,07953
42	324,3	0,08042
43	324,9	0,07802
44	325,4	0,07708
45	326	0,07613
46	326,6	0,07531
47	327,2	0,07449
48	327,7	0,0772
49	328,3	0,07991
50	328,9	0,07892
51	329,5	0,07515
52	330	0,07936
53	330,6	0,08358
54	331,2	0,07998
55	331,8	0,07736
56	332,3	0,07479
57	332,9	0,07602
58	333,5	0,07724
59	334,1	0,07465
60	334,6	0,07312
61	335,2	0,07518
62	335,8	0,07724
63	336,4	0,07377
64	336,9	0,07689
65	337,5	0,08002
66	338,1	0,08018
67	338,7	0,08034
68	339,2	0,07736
69	339,8	0,07438
70	340,4	0,07752
71	341	0,08065
72	341,6	0,07791
73	342,1	0,07518
74	342,7	0,07479
75	343,3	0,0744
76	343,9	0,07359
77	344,4	0,07278
78	345	0,07286
79	345,6	0,07295
80	346,2	0,07375
81	346,7	0,07455
82	347,3	0,07412
83	347,9	0,07369
84	348,5	0,07613
85	349	0,07857
86	349,6	0,07762
87	350,2	0,07872
88	350,8	0,07983
89	351,3	0,07671
90	351,9	0,07907
91	352,5	0,08143
92	353,1	0,07438
93	353,6	0,0791
94	354,2	0,08381
95	354,8	0,07926
96	355,4	0,07853
97	355,9	0,08025
98	356,5	0,08198
99	357,1	0,08418
100	357,7	0,08077
101	358,2	0,08149
102	358,8	0,08221
103	359,4	0,07532
104	360	0,07799
105	360,5	0,08065
106	361,1	0,08364
107	361,7	0,0828
108	362,3	0,08197
109	362,8	0,07917
110	363,4	0,07637
111	364	0,07737
112	364,6	0,07837
113	365,1	0,0789
114	365,7	0,08192
115	366,3	0,07474
116	366,9	0,07394
117	367,5	0,0736
118	368	0,07326
119	368,6	0,07599
120	369,2	0,07873
121	369,8	0,07827
