V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	200_1100_1035_8
Date of Measurement	2008-4-24 0:38:34
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	36,519
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:200_1100_1035_8	Y:200_1100_1035_8
0	300,3	0,08851
1	300,8	0,08757
2	301,4	0,08663
3	302	0,08532
4	302,6	0,08247
5	303,1	0,08128
6	303,7	0,08009
7	304,3	0,07038
8	304,8	0,07421
9	305,4	0,07804
10	306	0,07575
11	306,5	0,07346
12	307,1	0,07275
13	307,7	0,0718
14	308,2	0,06836
15	308,8	0,07061
16	309,4	0,07287
17	309,9	0,072
18	310,5	0,07221
19	311,1	0,07242
20	311,6	0,06926
21	312,2	0,06872
22	312,8	0,06901
23	313,4	0,06931
24	313,9	0,07023
25	314,5	0,06978
26	315,1	0,06535
27	315,7	0,06462
28	316,2	0,06389
29	316,8	0,06243
30	317,4	0,06292
31	318	0,0634
32	318,5	0,06395
33	319,1	0,06542
34	319,7	0,06688
35	320,3	0,06374
36	320,8	0,06319
37	321,4	0,06533
38	322	0,06748
39	322,6	0,06899
40	323,1	0,06628
41	323,7	0,06357
42	324,3	0,06417
43	324,9	0,06476
44	325,4	0,06433
45	326	0,0639
46	326,6	0,06427
47	327,2	0,06464
48	327,7	0,06028
49	328,3	0,06181
50	328,9	0,06334
51	329,5	0,06156
52	330	0,06419
53	330,6	0,06683
54	331,2	0,06701
55	331,8	0,06522
56	332,3	0,06258
57	332,9	0,06295
58	333,5	0,06332
59	334,1	0,06198
60	334,6	0,06399
61	335,2	0,066
62	335,8	0,06225
63	336,4	0,06159
64	336,9	0,06487
65	337,5	0,06815
66	338,1	0,06612
67	338,7	0,0641
68	339,2	0,06466
69	339,8	0,06523
70	340,4	0,06599
71	341	0,06676
72	341,6	0,0651
73	342,1	0,06514
74	342,7	0,06519
75	343,3	0,05914
76	343,9	0,06002
77	344,4	0,06091
78	345	0,06259
79	345,6	0,06234
80	346,2	0,0634
81	346,7	0,06446
82	347,3	0,06326
83	347,9	0,06206
84	348,5	0,06414
85	349	0,06621
86	349,6	0,06429
87	350,2	0,06399
88	350,8	0,06369
89	351,3	0,06303
90	351,9	0,06377
91	352,5	0,06451
92	353,1	0,06261
93	353,6	0,06848
94	354,2	0,0658
95	354,8	0,06313
96	355,4	0,06741
97	355,9	0,0717
98	356,5	0,07277
99	357,1	0,07384
100	357,7	0,06657
101	358,2	0,06376
102	358,8	0,06095
103	359,4	0,06083
104	360	0,05847
105	360,5	0,05901
106	361,1	0,05955
107	361,7	0,06624
108	362,3	0,06315
109	362,8	0,06006
110	363,4	0,05801
111	364	0,05749
112	364,6	0,06144
113	365,1	0,0654
114	365,7	0,06122
115	366,3	0,05703
116	366,9	0,05646
117	367,5	0,05729
118	368	0,05812
119	368,6	0,05988
120	369,2	0,05887
121	369,8	0,05786
122	370,4	0,05605
123	370,9	0,05424
124	371,5	0,05304
125	372,1	0,05595
126	372,7	0,05886
127	373,3	0,0551
128	373,8	0,05261
129	374,4	0,05012
130	375	0,04926
131	375,6	0,0484
132	376,2	0,04526
133	376,7	0,04472
134	377,3	0,04419
135	377,9	0,04273
136	378,5	0,0408
137	379,1	0,03887
138	379,6	0,03692
139	380,2	0,03499
140	380,8	0,03544
141	381,4	0,0359
142	382	0,03526
143	382,5	0,03426
144	383,1	0,03325
145	383,7	0,03453
146	384,3	0,03581
147	384,9	0,03546
148	385,4	0,03118
149	386	0,03198
150	386,6	0,03279
151	387,2	0,03148
152	387,8	0,03177
153	388,3	0,03206
154	388,9	0,03143
155	389,5	0,03066
156	390,1	0,02876
157	390,7	0,02902
158	391,2	0,02927
159	391,8	0,02678
160	392,4	0,02882
161	393	0,02855
162	393,6	0,03064
163	394,1	0,02961
164	394,7	0,02859
165	395,3	0,02824
166	395,9	0,02976
167	396,5	0,03128
168	397	0,03021
169	397,6	0,02914
170	398,2	0,02928
171	398,8	0,02941
172	399,4	0,02845
173	399,9	0,02748
174	400,5	0,02717
175	401,1	0,02685
176	401,7	0,02883
177	402,3	0,02443
178	402,8	0,02537
179	403,4	0,02631
180	404	0,02712
181	404,6	0,02699
182	405,2	0,0286
183	405,7	0,03021
184	406,3	0,02867
185	406,9	0,02852
186	407,5	0,02837
187	408	0,02474
188	408,6	0,02478
189	409,2	0,02482
190	409,8	0,02392
191	410,4	0,02611
192	410,9	0,02613
193	411,5	0,02615
194	412,1	0,02661
195	412,7	0,02706
196	413,2	0,02667
197	413,8	0,02669
198	414,4	0,02671
199	415	0,02531
200	415,6	0,0239
201	416,1	0,02488
202	416,7	0,02586
203	417,3	0,0247
204	417,9	0,02355
205	418,4	0,02497
206	419	0,02638
207	419,6	0,02711
208	420,2	0,02784
209	420,8	0,02419
210	421,3	0,02223
211	421,9	0,02345
212	422,5	0,02467
213	423,1	0,02659
214	423,6	0,02576
215	424,2	0,02551
216	424,8	0,02526
217	425,4	0,02446
218	425,9	0,02406
219	426,5	0,02366
220	427,1	0,02314
221	427,7	0,02355
222	428,3	0,02396
223	428,8	0,02138
224	429,4	0,02023
225	430	0,02352
226	430,6	0,02172
227	431,1	0,01993
228	431,7	0,02042
229	432,3	0,02092
230	432,9	0,02278
231	433,5	0,02483
232	434	0,02436
233	434,6	0,02405
234	435,2	0,02365
235	435,8	0,02301
236	436,3	0,02238
237	436,9	0,02385
238	437,5	0,02533
239	438,1	0,02497
240	438,7	0,02205
241	439,2	0,02187
242	439,8	0,02221
243	440,4	0,02256
244	441	0,02351
245	441,6	0,0245
246	442,1	0,02425
247	442,7	0,02259
248	443,3	0,02318
249	443,9	0,02378
250	444,5	0,0237
251	445	0,02363
252	445,6	0,02368
253	446,2	0,02372
