V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	200_1100_1035_4
Date of Measurement	2008-4-24 0:30:9
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	33,041
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:200_1100_1035_4	Y:200_1100_1035_4
0	300,3	0,12
1	300,8	0,1186
2	301,4	0,1172
3	302	0,112
4	302,6	0,1088
5	303,1	0,1055
6	303,7	0,1028
7	304,3	0,09823
8	304,8	0,1012
9	305,4	0,1042
10	306	0,1001
11	306,5	0,09885
12	307,1	0,09835
13	307,7	0,09482
14	308,2	0,0966
15	308,8	0,09838
16	309,4	0,09864
17	309,9	0,09781
18	310,5	0,09833
19	311,1	0,09885
20	311,6	0,08961
21	312,2	0,09328
22	312,8	0,09695
23	313,4	0,09923
24	313,9	0,099
25	314,5	0,09876
26	315,1	0,1006
27	315,7	0,1025
28	316,2	0,104
29	316,8	0,1088
30	317,4	0,1135
31	318	0,1147
32	318,5	0,1159
33	319,1	0,116
34	319,7	0,1161
35	320,3	0,1147
36	320,8	0,1154
37	321,4	0,1161
38	322	0,1164
39	322,6	0,1193
40	323,1	0,1168
41	323,7	0,1194
42	324,3	0,1219
43	324,9	0,1151
44	325,4	0,113
45	326	0,1108
46	326,6	0,1115
47	327,2	0,1122
48	327,7	0,1068
49	328,3	0,1089
50	328,9	0,1111
51	329,5	0,1115
52	330	0,112
53	330,6	0,1126
54	331,2	0,1115
55	331,8	0,1105
56	332,3	0,1113
57	332,9	0,1121
58	333,5	0,1078
59	334,1	0,1044
60	334,6	0,1034
61	335,2	0,1034
62	335,8	0,1034
63	336,4	0,1027
64	336,9	0,1063
65	337,5	0,11
66	338,1	0,1045
67	338,7	0,09906
68	339,2	0,1063
69	339,8	0,1063
70	340,4	0,1064
71	341	0,1049
72	341,6	0,09961
73	342,1	0,09746
74	342,7	0,0953
75	343,3	0,09542
76	343,9	0,09554
77	344,4	0,1014
78	345	0,1025
79	345,6	0,1024
80	346,2	0,1022
81	346,7	0,1019
82	347,3	0,1036
83	347,9	0,1054
84	348,5	0,107
85	349	0,1087
86	349,6	0,1062
87	350,2	0,1093
88	350,8	0,1124
89	351,3	0,1091
90	351,9	0,1113
91	352,5	0,1135
92	353,1	0,1059
93	353,6	0,1091
94	354,2	0,1123
95	354,8	0,1108
96	355,4	0,1128
97	355,9	0,1148
98	356,5	0,1188
99	357,1	0,1228
100	357,7	0,1189
101	358,2	0,115
102	358,8	0,1189
103	359,4	0,1228
104	360	0,122
105	360,5	0,1257
106	361,1	0,1294
107	361,7	0,1311
108	362,3	0,1329
109	362,8	0,132
110	363,4	0,1312
111	364	0,1343
112	364,6	0,1373
113	365,1	0,1457
114	365,7	0,1454
115	366,3	0,1452
116	366,9	0,1453
117	367,5	0,1455
118	368	0,1475
119	368,6	0,1524
120	369,2	0,1592
121	369,8	0,1588
122	370,4	0,1601
123	370,9	0,1615
124	371,5	0,1639
125	372,1	0,169
126	372,7	0,1817
127	373,3	0,1775
128	373,8	0,1749
129	374,4	0,1723
130	375	0,1734
131	375,6	0,1746
132	376,2	0,1795
133	376,7	0,196
134	377,3	0,1862
135	377,9	0,1845
136	378,5	0,1866
137	379,1	0,1887
138	379,6	0,1931
139	380,2	0,2067
140	380,8	0,214
141	381,4	0,2205
142	382	0,221
143	382,5	0,2246
144	383,1	0,2281
145	383,7	0,2321
146	384,3	0,236
147	384,9	0,2476
148	385,4	0,2533
149	386	0,2533
150	386,6	0,2582
151	387,2	0,2608
152	387,8	0,2649
153	388,3	0,2766
154	388,9	0,293
155	389,5	0,3032
156	390,1	0,3089
157	390,7	0,3111
158	391,2	0,3166
159	391,8	0,3323
160	392,4	0,3396
161	393	0,3468
162	393,6	0,3656
163	394,1	0,3783
164	394,7	0,3833
165	395,3	0,3882
166	395,9	0,3932
167	396,5	0,3971
168	397	0,4006
169	397,6	0,404
170	398,2	0,4113
171	398,8	0,4361
172	399,4	0,4579
173	399,9	0,4721
174	400,5	0,4762
175	401,1	0,4813
176	401,7	0,4836
177	402,3	0,4898
178	402,8	0,4818
179	403,4	0,4928
180	404	0,5038
181	404,6	0,5187
182	405,2	0,5322
183	405,7	0,5451
184	406,3	0,5506
185	406,9	0,5514
186	407,5	0,5522
187	408	0,5518
188	408,6	0,5538
189	409,2	0,5557
190	409,8	0,5582
191	410,4	0,5604
192	410,9	0,5625
193	411,5	0,5671
194	412,1	0,584
195	412,7	0,5825
196	413,2	0,5785
