V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	200_1100_1035_7
Date of Measurement	2008-4-24 0:32:16
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	34,78
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:200_1100_1035_7	Y:200_1100_1035_7
0	300,3	0,1077
1	300,8	0,1054
2	301,4	0,1031
3	302	0,1028
4	302,6	0,09801
5	303,1	0,09959
6	303,7	0,1012
7	304,3	0,08956
8	304,8	0,09421
9	305,4	0,09888
10	306	0,09588
11	306,5	0,09289
12	307,1	0,08871
13	307,7	0,08703
14	308,2	0,08615
15	308,8	0,08588
16	309,4	0,08667
17	309,9	0,08745
18	310,5	0,0876
19	311,1	0,08774
20	311,6	0,08889
21	312,2	0,09003
22	312,8	0,09218
23	313,4	0,08276
24	313,9	0,08429
25	314,5	0,08582
26	315,1	0,08568
27	315,7	0,08408
28	316,2	0,08564
29	316,8	0,08721
30	317,4	0,08129
31	318	0,08361
32	318,5	0,08594
33	319,1	0,08763
34	319,7	0,08822
35	320,3	0,08881
36	320,8	0,08604
37	321,4	0,08694
38	322	0,08785
39	322,6	0,08771
40	323,1	0,0895
41	323,7	0,0913
42	324,3	0,09185
43	324,9	0,08694
44	325,4	0,07601
45	326	0,07725
46	326,6	0,07849
47	327,2	0,07873
48	327,7	0,07913
49	328,3	0,07993
50	328,9	0,08634
51	329,5	0,08436
52	330	0,08742
53	330,6	0,09048
54	331,2	0,08753
55	331,8	0,08218
56	332,3	0,08515
57	332,9	0,08812
58	333,5	0,08583
59	334,1	0,08418
60	334,6	0,07969
61	335,2	0,07869
62	335,8	0,07769
63	336,4	0,07863
64	336,9	0,07957
65	337,5	0,07666
66	338,1	0,08134
67	338,7	0,08603
68	339,2	0,08634
69	339,8	0,08666
70	340,4	0,0851
71	341	0,08354
72	341,6	0,07805
73	342,1	0,07842
74	342,7	0,07879
75	343,3	0,08137
76	343,9	0,0777
77	344,4	0,08079
78	345	0,08388
79	345,6	0,08408
80	346,2	0,08354
81	346,7	0,083
82	347,3	0,08073
83	347,9	0,07847
84	348,5	0,08726
85	349	0,08305
86	349,6	0,083
87	350,2	0,08694
88	350,8	0,0909
89	351,3	0,0789
90	351,9	0,08034
91	352,5	0,08177
92	353,1	0,08194
93	353,6	0,08242
94	354,2	0,08698
95	354,8	0,08239
96	355,4	0,08317
97	355,9	0,08395
98	356,5	0,08666
99	357,1	0,08937
100	357,7	0,08711
101	358,2	0,08484
102	358,8	0,08754
103	359,4	0,09024
104	360	0,07796
105	360,5	0,08475
106	361,1	0,0818
107	361,7	0,08495
108	362,3	0,08809
109	362,8	0,07882
110	363,4	0,07801
111	364	0,08244
112	364,6	0,08687
113	365,1	0,09158
114	365,7	0,08724
115	366,3	0,08509
116	366,9	0,08294
117	367,5	0,0809
118	368	0,08114
119	368,6	0,08138
120	369,2	0,08403
121	369,8	0,08066
122	370,4	0,0802
123	370,9	0,07974
124	371,5	0,07988
125	372,1	0,08001
126	372,7	0,08186
127	373,3	0,07578
128	373,8	0,0748
129	374,4	0,07382
130	375	0,0721
131	375,6	0,07038
132	376,2	0,07117
133	376,7	0,07195
134	377,3	0,07281
135	377,9	0,06825
136	378,5	0,06846
137	379,1	0,06867
138	379,6	0,06584
139	380,2	0,06576
140	380,8	0,06568
141	381,4	0,06584
142	382	0,066
143	382,5	0,06262
144	383,1	0,05924
145	383,7	0,05982
146	384,3	0,0604
147	384,9	0,06029
148	385,4	0,06018
149	386	0,06014
150	386,6	0,05883
151	387,2	0,05833
152	387,8	0,05784
153	388,3	0,05854
154	388,9	0,05924
155	389,5	0,05991
156	390,1	0,06059
157	390,7	0,05829
158	391,2	0,05853
159	391,8	0,05877
160	392,4	0,05855
161	393	0,05833
162	393,6	0,05841
163	394,1	0,05849
164	394,7	0,05938
165	395,3	0,06027
166	395,9	0,05939
167	396,5	0,05851
168	397	0,05746
169	397,6	0,05642
170	398,2	0,05581
171	398,8	0,05596
172	399,4	0,05611
173	399,9	0,05873
174	400,5	0,05798
175	401,1	0,05786
176	401,7	0,0592
177	402,3	0,06055
178	402,8	0,05702
179	403,4	0,05349
180	404	0,05564
181	404,6	0,05779
182	405,2	0,05476
183	405,7	0,05446
184	406,3	0,05526
185	406,9	0,05606
186	407,5	0,04997
187	408	0,04911
188	408,6	0,04825
189	409,2	0,04788
190	409,8	0,04752
191	410,4	0,0493
192	410,9	0,05109
193	411,5	0,04909
194	412,1	0,04859
195	412,7	0,04808
196	413,2	0,04719
197	413,8	0,04589
198	414,4	0,04459
199	415	0,04569
200	415,6	0,0468
201	416,1	0,04642
202	416,7	0,04707
203	417,3	0,04771
204	417,9	0,04653
205	418,4	0,04536
206	419	0,04586
207	419,6	0,04636
208	420,2	0,04726
209	420,8	0,04816
210	421,3	0,04094
211	421,9	0,04248
212	422,5	0,04403
213	423,1	0,04512
214	423,6	0,04431
215	424,2	0,04349
216	424,8	0,04326
217	425,4	0,04387
218	425,9	0,04449
219	426,5	0,04087
220	427,1	0,03828
221	427,7	0,03868
222	428,3	0,03908
223	428,8	0,03934
224	429,4	0,03945
225	430	0,03957
226	430,6	0,03826
227	431,1	0,03696
228	431,7	0,0378
229	432,3	0,03863
230	432,9	0,04231
231	433,5	0,04287
232	434	0,04341
233	434,6	0,04396
234	435,2	0,04394
235	435,8	0,04078
236	436,3	0,04018
237	436,9	0,04384
238	437,5	0,04338
239	438,1	0,04293
240	438,7	0,04293
241	439,2	0,04295
242	439,8	0,04334
243	440,4	0,04372
244	441	0,04506
245	441,6	0,0464
246	442,1	0,04652
247	442,7	0,04664
248	443,3	0,04841
249	443,9	0,05015
250	444,5	0,0519
251	445	0,05324
252	445,6	0,05283
253	446,2	0,05303
254	446,8	0,05323
255	447,4	0,05309
256	447,9	0,05482
257	448,5	0,05655
258	449,1	0,05444
259	449,7	0,0515
260	450,3	0,05439
261	450,8	0,05729
262	451,4	0,05954
263	452	0,06047
264	452,6	0,06141
265	453,2	0,0622
266	453,7	0,06298
267	454,3	0,06407
268	454,9	0,0667
269	455,5	0,06933
270	456,1	0,06887
271	456,6	0,07114
272	457,2	0,07342
273	457,8	0,07366
274	458,4	0,07639
275	459	0,07913
276	459,5	0,08113
277	460,1	0,08297
278	460,7	0,08599
279	461,3	0,09587
280	461,9	0,1006
281	462,4	0,103
282	463	0,1085
283	463,6	0,1092
284	464,2	0,1173
285	464,8	0,1243
286	465,3	0,1296
287	465,9	0,1323
288	466,5	0,1443
289	467,1	0,1615
290	467,7	0,1642
291	468,2	0,1688
292	468,8	0,1708
293	469,4	0,1805
294	470	0,1872
295	470,5	0,1973
296	471,1	0,2201
297	471,7	0,2356
298	472,3	0,251
299	472,9	0,2714
300	473,4	0,2897
301	474	0,3083
302	474,6	0,3335
303	475,2	0,3505
304	475,8	0,3814
305	476,3	0,4128
306	476,9	0,4341
307	477,5	0,4753
308	478,1	0,5173
309	478,7	0,5484
310	479,2	0,5631
311	479,8	0,5891
312	480,4	0,6192
313	481	0,6763
314	481,6	0,729
315	482,1	0,7382
316	482,7	0,7641
317	483,3	0,8071
318	483,9	0,8223
319	484,5	0,8559
320	485	0,9248
321	485,6	0,962
322	486,2	0,9856
323	486,8	1,06
324	487,4	1,085
325	487,9	1,106
