V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	200_1100_1035_3
Date of Measurement	2008-4-24 0:29:25
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	28,135
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:200_1100_1035_3	Y:200_1100_1035_3
0	300,3	0,1376
1	300,8	0,1349
2	301,4	0,1323
3	302	0,1277
4	302,6	0,1243
5	303,1	0,1209
6	303,7	0,1181
7	304,3	0,1153
8	304,8	0,1149
9	305,4	0,1149
10	306	0,1149
11	306,5	0,1167
12	307,1	0,1185
13	307,7	0,1107
14	308,2	0,1123
15	308,8	0,1139
16	309,4	0,1128
17	309,9	0,1106
18	310,5	0,1135
19	311,1	0,1164
20	311,6	0,1149
21	312,2	0,1133
22	312,8	0,1118
23	313,4	0,1096
24	313,9	0,112
25	314,5	0,1143
26	315,1	0,1124
27	315,7	0,1139
28	316,2	0,1154
29	316,8	0,1202
30	317,4	0,1233
31	318	0,1264
32	318,5	0,1281
33	319,1	0,1277
34	319,7	0,128
35	320,3	0,1284
36	320,8	0,131
37	321,4	0,1336
38	322	0,1357
39	322,6	0,1365
40	323,1	0,1379
41	323,7	0,1393
42	324,3	0,1455
43	324,9	0,1409
44	325,4	0,1389
45	326	0,1368
46	326,6	0,134
47	327,2	0,1337
48	327,7	0,1368
49	328,3	0,1398
50	328,9	0,1368
51	329,5	0,1371
52	330	0,1374
53	330,6	0,1445
54	331,2	0,1389
55	331,8	0,1333
56	332,3	0,1323
57	332,9	0,1326
58	333,5	0,1329
59	334,1	0,1326
60	334,6	0,131
61	335,2	0,1294
62	335,8	0,124
63	336,4	0,1289
64	336,9	0,1338
65	337,5	0,1239
66	338,1	0,1242
67	338,7	0,1245
68	339,2	0,125
69	339,8	0,124
70	340,4	0,1228
71	341	0,1259
72	341,6	0,1289
73	342,1	0,1283
74	342,7	0,1277
75	343,3	0,1268
76	343,9	0,1235
77	344,4	0,1202
78	345	0,1214
79	345,6	0,1227
80	346,2	0,1225
81	346,7	0,121
82	347,3	0,1217
83	347,9	0,1224
84	348,5	0,1238
85	349	0,1251
86	349,6	0,1158
87	350,2	0,1188
88	350,8	0,1218
89	351,3	0,1184
90	351,9	0,115
91	352,5	0,1148
92	353,1	0,1129
93	353,6	0,1176
94	354,2	0,1222
95	354,8	0,1136
96	355,4	0,1143
97	355,9	0,1149
98	356,5	0,1166
99	357,1	0,1183
100	357,7	0,1146
101	358,2	0,111
102	358,8	0,1109
103	359,4	0,1107
104	360	0,1092
105	360,5	0,1136
106	361,1	0,1181
107	361,7	0,1176
108	362,3	0,1171
109	362,8	0,1094
110	363,4	0,1071
111	364	0,1047
112	364,6	0,1089
113	365,1	0,1132
114	365,7	0,1126
115	366,3	0,104
116	366,9	0,09878
117	367,5	0,0987
118	368	0,09862
119	368,6	0,09961
120	369,2	0,1006
121	369,8	0,1015
122	370,4	0,09366
123	370,9	0,09417
124	371,5	0,09468
125	372,1	0,09637
126	372,7	0,09245
127	373,3	0,08721
128	373,8	0,08393
129	374,4	0,08066
130	375	0,07574
131	375,6	0,07557
132	376,2	0,07739
133	376,7	0,07922
134	377,3	0,07107
135	377,9	0,06969
136	378,5	0,06936
137	379,1	0,06904
138	379,6	0,06866
139	380,2	0,06827
140	380,8	0,06571
141	381,4	0,06315
142	382	0,06198
143	382,5	0,0614
144	383,1	0,05928
145	383,7	0,05717
146	384,3	0,05802
147	384,9	0,05887
148	385,4	0,05722
149	386	0,05728
150	386,6	0,05735
151	387,2	0,05492
152	387,8	0,0525
153	388,3	0,05067
154	388,9	0,05049
155	389,5	0,05323
156	390,1	0,05597
157	390,7	0,04924
158	391,2	0,05037
159	391,8	0,05151
160	392,4	0,05237
161	393	0,05323
162	393,6	0,05172
163	394,1	0,05021
164	394,7	0,04883
165	395,3	0,04836
166	395,9	0,05025
167	396,5	0,05214
168	397	0,0486
169	397,6	0,04751
170	398,2	0,0475
171	398,8	0,0475
172	399,4	0,04924
173	399,9	0,05098
174	400,5	0,05004
175	401,1	0,0491
176	401,7	0,05042
177	402,3	0,05175
178	402,8	0,04875
179	403,4	0,04577
180	404	0,04752
181	404,6	0,04928
182	405,2	0,05042
183	405,7	0,04912
184	406,3	0,04854
185	406,9	0,04703
186	407,5	0,04717
187	408	0,04731
188	408,6	0,04659
189	409,2	0,0474
190	409,8	0,0482
191	410,4	0,048
192	410,9	0,04798
193	411,5	0,04797
194	412,1	0,04767
195	412,7	0,04736
196	413,2	0,04285
197	413,8	0,043
198	414,4	0,04317
199	415	0,04553
200	415,6	0,04607
201	416,1	0,04537
202	416,7	0,04728
203	417,3	0,0492
204	417,9	0,04766
205	418,4	0,04611
206	419	0,04571
207	419,6	0,04382
208	420,2	0,04486
209	420,8	0,04591
210	421,3	0,04273
211	421,9	0,04289
212	422,5	0,04305
213	423,1	0,04481
214	423,6	0,04658
215	424,2	0,04681
216	424,8	0,0446
217	425,4	0,04375
218	425,9	0,0429
219	426,5	0,0425
220	427,1	0,04201
221	427,7	0,04257
222	428,3	0,04313
223	428,8	0,04367
224	429,4	0,0418
225	430	0,04294
226	430,6	0,04409
227	431,1	0,03838
228	431,7	0,03831
229	432,3	0,03927
230	432,9	0,04022
231	433,5	0,04189
232	434	0,04272
233	434,6	0,041
234	435,2	0,0424
235	435,8	0,0438
236	436,3	0,04012
237	436,9	0,04195
238	437,5	0,04379
239	438,1	0,04296
240	438,7	0,03948
241	439,2	0,04082
242	439,8	0,04217
243	440,4	0,04225
244	441	0,04233
245	441,6	0,04084
246	442,1	0,04136
247	442,7	0,04188
248	443,3	0,04287
249	443,9	0,04387
250	444,5	0,04421
251	445	0,04456
252	445,6	0,03954
253	446,2	0,04032
254	446,8	0,04111
255	447,4	0,04186
256	447,9	0,04133
257	448,5	0,0408
258	449,1	0,03991
259	449,7	0,03902
260	450,3	0,03877
261	450,8	0,03887
262	451,4	0,03897
263	452	0,03911
264	452,6	0,03925
265	453,2	0,04124
266	453,7	0,04323
267	454,3	0,042
268	454,9	0,04077
269	455,5	0,03972
270	456,1	0,03842
271	456,6	0,03985
272	457,2	0,04127
273	457,8	0,04146
274	458,4	0,03961
275	459	0,0403
276	459,5	0,04098
277	460,1	0,03883
278	460,7	0,0393
279	461,3	0,03977
280	461,9	0,04218
281	462,4	0,04229
282	463	0,04241
283	463,6	0,041
284	464,2	0,04047
285	464,8	0,04101
286	465,3	0,04155
287	465,9	0,03911
288	466,5	0,04007
289	467,1	0,04103
290	467,7	0,04145
291	468,2	0,04327
292	468,8	0,04018
293	469,4	0,03708
294	470	0,03501
295	470,5	0,03738
296	471,1	0,03975
297	471,7	0,03869
298	472,3	0,03949
299	472,9	0,04029
300	473,4	0,04
301	474	0,03924
302	474,6	0,0377
303	475,2	0,03605
304	475,8	0,03804
305	476,3	0,04003
306	476,9	0,04165
307	477,5	0,0406
308	478,1	0,04196
309	478,7	0,04331
310	479,2	0,04107
311	479,8	0,03955
312	480,4	0,03948
313	481	0,04073
314	481,6	0,04198
315	482,1	0,04024
316	482,7	0,03938
317	483,3	0,03853
318	483,9	0,0378
319	484,5	0,03938
320	485	0,04095
321	485,6	0,04216
322	486,2	0,04203
323	486,8	0,04191
324	487,4	0,04002
325	487,9	0,03976
326	488,5	0,0395
327	489,1	0,036
328	489,7	0,03472
329	490,3	0,03593
330	490,8	0,03714
331	491,4	0,03626
