V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	REF-200_1100_1035-2008-4-24
Date of Measurement	2008-4-24 0:52:18
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	3,478
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:REF-200_1100_1035-2008-4-24	Y:REF-200_1100_1035-2008-4-24
0	300,3	6,491
1	300,8	6,426
2	301,4	6,412
3	302	6,399
4	302,6	6,336
5	303,1	6,297
6	303,7	6,272
7	304,3	6,252
8	304,8	6,231
9	305,4	6,208
10	306	6,173
11	306,5	6,148
12	307,1	6,078
13	307,7	6,027
14	308,2	5,986
15	308,8	5,981
16	309,4	5,975
17	309,9	5,9
18	310,5	5,855
19	311,1	5,78
20	311,6	5,714
21	312,2	5,691
22	312,8	5,601
23	313,4	5,567
24	313,9	5,511
25	314,5	5,446
26	315,1	5,417
27	315,7	5,37
28	316,2	5,309
29	316,8	5,23
30	317,4	5,151
31	318	5,097
32	318,5	5,075
33	319,1	5,003
34	319,7	4,914
35	320,3	4,854
36	320,8	4,836
37	321,4	4,83
38	322	4,824
39	322,6	4,805
40	323,1	4,788
41	323,7	4,746
42	324,3	4,709
43	324,9	4,638
44	325,4	4,572
45	326	4,561
46	326,6	4,549
47	327,2	4,509
48	327,7	4,45
49	328,3	4,436
50	328,9	4,422
51	329,5	4,352
52	330	4,299
53	330,6	4,27
54	331,2	4,241
55	331,8	4,236
56	332,3	4,165
57	332,9	4,152
58	333,5	4,094
59	334,1	4,049
60	334,6	3,985
61	335,2	3,911
62	335,8	3,888
63	336,4	3,865
64	336,9	3,837
65	337,5	3,818
66	338,1	3,802
67	338,7	3,771
68	339,2	3,738
69	339,8	3,685
70	340,4	3,652
71	341	3,635
72	341,6	3,618
73	342,1	3,589
74	342,7	3,543
75	343,3	3,508
76	343,9	3,451
77	344,4	3,412
78	345	3,388
79	345,6	3,376
80	346,2	3,345
81	346,7	3,331
82	347,3	3,33
83	347,9	3,321
84	348,5	3,311
85	349	3,297
86	349,6	3,288
87	350,2	3,253
88	350,8	3,223
89	351,3	3,193
90	351,9	3,172
91	352,5	3,149
92	353,1	3,11
93	353,6	3,106
94	354,2	3,063
95	354,8	3,018
96	355,4	2,996
97	355,9	2,996
98	356,5	2,971
99	357,1	2,946
100	357,7	2,918
101	358,2	2,875
102	358,8	2,849
103	359,4	2,828
104	360	2,793
105	360,5	2,78
106	361,1	2,769
107	361,7	2,727
108	362,3	2,706
109	362,8	2,668
110	363,4	2,639
111	364	2,628
112	364,6	2,618
113	365,1	2,602
114	365,7	2,578
115	366,3	2,553
116	366,9	2,496
117	367,5	2,461
118	368	2,453
119	368,6	2,447
120	369,2	2,441
121	369,8	2,432
122	370,4	2,355
123	370,9	2,291
124	371,5	2,239
125	372,1	2,222
126	372,7	2,205
127	373,3	2,126
128	373,8	2,03
129	374,4	1,932
130	375	1,9
131	375,6	1,907
132	376,2	1,914
133	376,7	1,911
134	377,3	1,829
135	377,9	1,763
136	378,5	1,711
137	379,1	1,722
138	379,6	1,732
139	380,2	1,793
140	380,8	1,782
141	381,4	1,724
142	382	1,65
143	382,5	1,598
144	383,1	1,58
145	383,7	1,565
146	384,3	1,565
147	384,9	1,564
148	385,4	1,541
149	386	1,503
150	386,6	1,456
151	387,2	1,425
152	387,8	1,422
153	388,3	1,433
154	388,9	1,443
155	389,5	1,461
156	390,1	1,43
157	390,7	1,381
158	391,2	1,368
159	391,8	1,355
160	392,4	1,36
161	393	1,365
162	393,6	1,44
163	394,1	1,455
164	394,7	1,396
165	395,3	1,375
166	395,9	1,364
167	396,5	1,337
168	397	1,321
169	397,6	1,328
170	398,2	1,334
171	398,8	1,391
172	399,4	1,435
173	399,9	1,436
174	400,5	1,42
175	401,1	1,413
176	401,7	1,388
177	402,3	1,377
178	402,8	1,338
179	403,4	1,332
180	404	1,339
181	404,6	1,345
182	405,2	1,355
183	405,7	1,374
184	406,3	1,366
185	406,9	1,34
186	407,5	1,304
187	408	1,291
188	408,6	1,278
189	409,2	1,275
190	409,8	1,272
191	410,4	1,261
192	410,9	1,25
193	411,5	1,257
194	412,1	1,264
195	412,7	1,252
196	413,2	1,232
197	413,8	1,238
198	414,4	1,243
199	415	1,253
200	415,6	1,253
201	416,1	1,266
202	416,7	1,28
203	417,3	1,274
204	417,9	1,279
205	418,4	1,283
206	419	1,285
207	419,6	1,287
208	420,2	1,309
209	420,8	1,315
210	421,3	1,309
211	421,9	1,324
212	422,5	1,339
213	423,1	1,338
214	423,6	1,32
215	424,2	1,302
216	424,8	1,3
217	425,4	1,301
218	425,9	1,303
219	426,5	1,256
220	427,1	1,196
221	427,7	1,163
222	428,3	1,176
223	428,8	1,189
224	429,4	1,225
225	430	1,254
226	430,6	1,315
227	431,1	1,316
228	431,7	1,307
229	432,3	1,298
230	432,9	1,284
231	433,5	1,261
232	434	1,224
233	434,6	1,191
234	435,2	1,154
235	435,8	1,162
236	436,3	1,17
237	436,9	1,202
238	437,5	1,267
239	438,1	1,231
240	438,7	1,226
241	439,2	1,221
242	439,8	1,21
243	440,4	1,175
244	441	1,16
245	441,6	1,157
246	442,1	1,163
247	442,7	1,17
248	443,3	1,214
249	443,9	1,216
250	444,5	1,217
251	445	1,234
252	445,6	1,226
253	446,2	1,235
254	446,8	1,243
255	447,4	1,259
256	447,9	1,231
257	448,5	1,209
258	449,1	1,169
259	449,7	1,125
260	450,3	1,125
261	450,8	1,148
262	451,4	1,171
263	452	1,161
264	452,6	1,142
265	453,2	1,137
266	453,7	1,118
267	454,3	1,113
268	454,9	1,108
269	455,5	1,072
270	456,1	1,072
271	456,6	1,072
272	457,2	1,077
273	457,8	1,076
274	458,4	1,075
275	459	1,067
276	459,5	1,064
277	460,1	1,05
278	460,7	1,073
279	461,3	1,096
280	461,9	1,159
281	462,4	1,138
282	463	1,065
283	463,6	1,045
284	464,2	1,046
285	464,8	1,046
286	465,3	1,047
287	465,9	1,057
288	466,5	1,112
289	467,1	1,121
290	467,7	1,059
291	468,2	0,9966
292	468,8	0,9694
293	469,4	0,967
294	470	0,9068
295	470,5	0,8915
296	471,1	0,8944
297	471,7	0,8974
298	472,3	0,8941
299	472,9	0,8907
300	473,4	0,8907
301	474	0,8999
302	474,6	0,9092
303	475,2	0,9217
304	475,8	0,9342
305	476,3	0,9651
306	476,9	0,9691
307	477,5	0,9731
308	478,1	0,9773
309	478,7	0,9706
310	479,2	0,9365
311	479,8	0,9294
312	480,4	0,9442
313	481	0,959
314	481,6	0,9838
315	482,1	0,9778
316	482,7	0,9717
317	483,3	0,9702
318	483,9	0,9333
319	484,5	0,9568
320	485	0,9804
321	485,6	0,9869
322	486,2	1,003
323	486,8	1,078
324	487,4	1,064
325	487,9	1,036
326	488,5	1,028
327	489,1	0,9599
328	489,7	0,8977
329	490,3	0,8823
330	490,8	0,8747
331	491,4	0,8671
332	492	0,8512
333	492,6	0,8047
334	493,2	0,8039
335	493,7	0,8204
336	494,3	0,8369
337	494,9	0,8545
338	495,5	0,8607
339	496,1	0,8836
340	496,6	0,9065
341	497,2	0,9737
342	497,8	0,9479
343	498,4	0,8896
344	499	0,8469
345	499,5	0,8436
346	500,1	0,8403
347	500,7	0,8335
348	501,3	0,8284
349	501,9	0,8492
350	502,4	0,87
351	503	0,902
352	503,6	0,8871
353	504,2	0,909
354	504,8	0,9309
355	505,3	0,9102
356	505,9	0,8968
357	506,5	0,8855
358	507,1	0,8563
359	507,6	0,8101
360	508,2	0,7996
361	508,8	0,8022
362	509,4	0,8048
363	510	0,7735
364	510,5	0,732
365	511,1	0,7417
366	511,7	0,7514
367	512,3	0,7704
368	512,9	0,7514
369	513,4	0,7557
370	514	0,76
371	514,6	0,7665
372	515,2	0,765
373	515,8	0,7332
374	516,3	0,734
375	516,9	0,7348
376	517,5	0,7756
377	518,1	0,7243
378	518,7	0,6913
379	519,2	0,6814
380	519,8	0,6804
381	520,4	0,6656
382	521	0,639
383	521,6	0,6363
384	522,1	0,6369
385	522,7	0,6375
386	523,3	0,6419
387	523,9	0,6455
388	524,5	0,6493
389	525	0,6531
390	525,6	0,6744
391	526,2	0,6644
392	526,8	0,6335
393	527,4	0,6271
394	527,9	0,6207
395	528,5	0,6254
396	529,1	0,6301
397	529,7	0,6603
398	530,3	0,6457
399	530,8	0,6202
400	531,4	0,6054
401	532	0,5927
402	532,6	0,5933
403	533,2	0,5939
404	533,7	0,6096
405	534,3	0,6372
406	534,9	0,6523
407	535,5	0,6597
408	536,1	0,6895
409	536,6	0,6634
410	537,2	0,6016
411	537,8	0,6138
412	538,4	0,626
413	539	0,6543
414	539,5	0,6362
415	540,1	0,6175
416	540,7	0,6045
417	541,3	0,6086
418	541,9	0,6127
419	542,4	0,6139
420	543	0,6162
421	543,6	0,635
422	544,2	0,6472
423	544,8	0,653
424	545,3	0,6651
425	545,9	0,6535
426	546,5	0,6385
427	547,1	0,5982
428	547,7	0,6341
429	548,2	0,6701
430	548,8	0,7243
431	549,4	0,7114
432	550	0,63
433	550,6	0,6293
434	551,2	0,6286
435	551,8	0,6115
436	552,3	0,6113
437	552,9	0,6137
438	553,5	0,6161
439	554,1	0,6172
440	554,7	0,6186
441	555,3	0,6194
442	555,8	0,6202
443	556,4	0,6539
444	557	0,6528
445	557,6	0,6256
446	558,2	0,5995
447	558,8	0,5741
448	559,4	0,5532
449	559,9	0,5555
450	560,5	0,5578
451	561,1	0,5733
452	561,7	0,6448
453	562,3	0,7294
454	562,9	0,7076
455	563,5	0,6346
456	564	0,6405
457	564,6	0,6463
458	565,2	0,6441
459	565,8	0,6419
460	566,4	0,6222
461	567	0,5555
462	567,5	0,5451
463	568,1	0,5644
464	568,7	0,5836
465	569,3	0,6092
466	569,9	0,6477
467	570,5	0,7477
468	571,1	0,8312
469	571,6	0,8558
470	572,2	0,9503
471	572,8	1,039
472	573,4	1,041
473	574	1,083
474	574,6	1,196
475	575,1	1,161
476	575,7	1,147
477	576,3	1,136
478	576,9	1,125
479	577,5	1,155
480	578,1	1,185
481	578,7	1,429
482	579,2	1,363
483	579,8	1,298
484	580,4	1,151
485	581	1,098
486	581,6	1,231
487	582,2	1,365
488	582,7	1,406
489	583,3	1,447
490	583,9	1,273
491	584,5	1,152
492	585,1	1,286
493	585,7	1,42
494	586,3	1,456
495	586,8	1,493
496	587,4	1,272
497	588	1,275
498	588,6	1,277
499	589,2	1,263
500	589,8	1,164
501	590,3	1,02
502	590,9	1,017
503	591,5	0,9566
504	592,1	0,9841
505	592,7	1,012
506	593,3	1,097
507	593,9	1,315
508	594,4	1,304
509	595	1,292
510	595,6	1,062
511	596,2	1,007
512	596,8	0,9547
513	597,4	0,9531
514	597,9	1,011
515	598,5	1,07
516	599,1	1,136
517	599,7	1,325
518	600,3	1,535
519	600,9	1,533
520	601,5	1,467
521	602	1,253
522	602,6	1,063
523	603,2	0,8987
524	603,8	0,9574
525	604,4	1,016
526	605	1,13
527	605,6	1,133
528	606,1	1,136
529	606,7	1,269
530	607,3	1,317
531	607,9	1,309
532	608,5	1,302
533	609,1	1,24
534	609,6	1,059
535	610,2	0,9449
536	610,8	0,9291
537	611,4	0,9134
538	612	0,8758
539	612,6	0,8671
540	613,2	0,8762
541	613,7	0,8853
542	614,3	0,9135
543	614,9	0,9562
544	615,5	0,9989
545	616,1	1,106
546	616,7	1,051
547	617,2	0,9503
548	617,8	0,89
549	618,4	0,8669
550	619	0,8438
551	619,6	0,8347
552	620,2	0,7496
553	620,8	0,7437
554	621,3	0,7378
555	621,9	0,701
556	622,5	0,7648
557	623,1	0,8285
558	623,7	0,8071
559	624,3	0,7169
560	624,8	0,721
561	625,4	0,7251
562	626	0,6651
563	626,6	0,58
564	627,2	0,5743
565	627,8	0,5964
566	628,4	0,6185
567	628,9	0,5632
568	629,5	0,5299
569	630,1	0,5479
570	630,7	0,5658
571	631,3	0,5111
572	631,9	0,4671
573	632,4	0,4189
574	633	0,3633
575	633,6	0,3536
576	634,2	0,3506
577	634,8	0,3511
578	635,4	0,3516
579	636	0,3306
580	636,5	0,3516
581	637,1	0,3725
582	637,7	0,4086
583	638,3	0,3988
584	638,9	0,3574
585	639,5	0,3443
586	640	0,3422
587	640,6	0,3019
588	641,2	0,2983
589	641,8	0,2948
590	642,4	0,2768
591	643	0,2564
592	643,6	0,2623
593	644,1	0,2682
594	644,7	0,2866
595	645,3	0,2967
596	645,9	0,2869
597	646,5	0,2684
598	647,1	0,2433
599	647,6	0,2421
600	648,2	0,2607
601	648,8	0,2792
602	649,4	0,4025
603	650	0,4952
604	650,6	0,4844
605	651,2	0,4092
606	651,7	0,3342
607	652,3	0,3252
608	652,9	0,3137
609	653,5	0,3332
610	654,1	0,3528
611	654,7	0,3683
612	655,3	0,3431
613	655,8	0,6076
614	656,4	0,8722
615	657	2,718
616	657,6	2,132
617	658,2	1,547
618	658,8	0,8545
619	659,3	0,6042
620	659,9	0,4676
621	660,5	0,3797
622	661,1	0,3186
623	661,7	0,2738
624	662,3	0,2595
625	662,9	0,2574
626	663,4	0,2419
627	664	0,2493
628	664,6	0,2567
629	665,2	0,3022
630	665,8	0,3288
631	666,4	0,3233
632	666,9	0,2814
633	667,5	0,2376
634	668,1	0,2105
635	668,7	0,2096
636	669,3	0,2171
637	669,9	0,2246
638	670,5	0,2658
639	671	0,2984
640	671,6	0,3219
641	672,2	0,3455
642	672,8	0,5147
643	673,4	0,501
644	674	0,4873
645	674,5	0,3852
646	675,1	0,3584
647	675,7	0,3493
648	676,3	0,3587
649	676,9	0,3682
650	677,5	0,4057
651	678,1	0,3966
652	678,6	0,4193
653	679,2	0,4421
654	679,8	0,4444
655	680,4	0,4467
656	681	0,4375
657	681,6	0,4284
658	682,1	0,4367
659	682,7	0,445
660	683,3	0,4287
661	683,9	0,328
662	684,5	0,3674
663	685,1	0,4067
664	685,7	0,5175
665	686,2	0,633
666	686,8	0,5985
667	687,4	0,564
668	688	0,4762
669	688,6	0,4713
670	689,2	0,4642
671	689,7	0,4481
672	690,3	0,4681
673	690,9	0,4881
674	691,5	0,5005
675	692,1	0,5128
676	692,7	0,5232
677	693,3	0,5336
678	693,8	0,5143
679	694,4	0,495
680	695	0,4488
681	695,6	0,4162
682	696,2	0,4294
683	696,8	0,4426
684	697,4	0,4968
685	697,9	0,551
686	698,5	0,6082
687	699,1	0,5486
688	699,7	0,4891
689	700,3	0,3907
690	700,9	0,333
691	701,4	0,2822
692	702	0,2451
693	702,6	0,2818
694	703,2	0,3186
695	703,8	0,4548
696	704,4	0,479
697	705	0,388
698	705,5	0,3637
699	706,1	0,3432
700	706,7	0,3345
701	707,3	0,4416
702	707,9	0,5488
703	708,5	0,7542
704	709	0,7745
705	709,6	0,6814
706	710,2	0,5573
707	710,8	0,4806
708	711,4	0,5101
709	712	0,5396
710	712,6	0,485
711	713,1	0,4768
712	713,7	0,5303
