V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	REF-200_1100_1035-2008-4-24
Date of Measurement	2008-4-24 0:28:53
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	27,878
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:REF-200_1100_1035-2008-4-24	Y:REF-200_1100_1035-2008-4-24
0	300,3	6,498
1	300,8	6,437
2	301,4	6,427
3	302	6,418
4	302,6	6,365
5	303,1	6,312
6	303,7	6,27
7	304,3	6,253
8	304,8	6,251
9	305,4	6,248
10	306	6,181
11	306,5	6,145
12	307,1	6,093
13	307,7	6,032
14	308,2	6,003
15	308,8	6,013
16	309,4	6,022
17	309,9	5,949
18	310,5	5,888
19	311,1	5,801
20	311,6	5,748
21	312,2	5,726
22	312,8	5,639
23	313,4	5,621
24	313,9	5,578
25	314,5	5,5
26	315,1	5,441
27	315,7	5,389
28	316,2	5,314
29	316,8	5,265
30	317,4	5,175
31	318	5,138
32	318,5	5,086
33	319,1	5,035
34	319,7	4,936
35	320,3	4,878
36	320,8	4,867
37	321,4	4,871
38	322	4,875
39	322,6	4,863
40	323,1	4,845
41	323,7	4,81
42	324,3	4,746
43	324,9	4,686
44	325,4	4,604
45	326	4,586
46	326,6	4,567
47	327,2	4,544
48	327,7	4,521
49	328,3	4,52
50	328,9	4,481
51	329,5	4,432
52	330	4,392
53	330,6	4,362
54	331,2	4,346
55	331,8	4,305
56	332,3	4,248
57	332,9	4,235
58	333,5	4,209
59	334,1	4,139
60	334,6	4,083
61	335,2	4,011
62	335,8	3,972
63	336,4	3,955
64	336,9	3,954
65	337,5	3,953
66	338,1	3,908
67	338,7	3,872
68	339,2	3,838
69	339,8	3,793
70	340,4	3,738
71	341	3,71
72	341,6	3,699
73	342,1	3,694
74	342,7	3,657
75	343,3	3,629
76	343,9	3,566
77	344,4	3,534
78	345	3,524
79	345,6	3,514
80	346,2	3,458
81	346,7	3,459
82	347,3	3,46
83	347,9	3,445
84	348,5	3,445
85	349	3,444
86	349,6	3,404
87	350,2	3,383
88	350,8	3,363
89	351,3	3,322
90	351,9	3,32
91	352,5	3,295
92	353,1	3,279
93	353,6	3,264
94	354,2	3,197
95	354,8	3,17
96	355,4	3,165
97	355,9	3,131
98	356,5	3,124
99	357,1	3,112
100	357,7	3,074
101	358,2	3,032
102	358,8	2,998
103	359,4	2,989
104	360	2,968
105	360,5	2,928
106	361,1	2,906
107	361,7	2,895
108	362,3	2,867
109	362,8	2,833
110	363,4	2,8
111	364	2,793
112	364,6	2,787
113	365,1	2,774
114	365,7	2,734
115	366,3	2,729
116	366,9	2,672
117	367,5	2,623
118	368	2,614
119	368,6	2,629
120	369,2	2,643
121	369,8	2,633
122	370,4	2,56
123	370,9	2,51
124	371,5	2,422
125	372,1	2,413
126	372,7	2,404
127	373,3	2,325
128	373,8	2,203
129	374,4	2,112
130	375	2,051
131	375,6	2,066
132	376,2	2,081
133	376,7	2,073
134	377,3	2,008
135	377,9	1,934
136	378,5	1,871
137	379,1	1,878
138	379,6	1,884
139	380,2	1,962
140	380,8	1,96
141	381,4	1,897
142	382	1,804
143	382,5	1,776
144	383,1	1,758
145	383,7	1,729
