V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	REF-200_1100_1035-2008-4-24
Date of Measurement	2008-4-24 0:58:21
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	161,727
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:REF-200_1100_1035-2008-4-24	Y:REF-200_1100_1035-2008-4-24
0	300,3	-0,006848
1	300,8	-0,002354
2	301,4	-0,003194
3	302	-0,004033
4	302,6	-0,003959
5	303,1	-0,004488
6	303,7	-0,005018
7	304,3	-0,005742
8	304,8	-0,003985
9	305,4	-0,00512
10	306	-0,004569
11	306,5	-0,004018
12	307,1	-0,004223
13	307,7	-0,004896
14	308,2	-0,004468
15	308,8	-0,00404
16	309,4	-0,003861
17	309,9	-0,004451
18	310,5	-0,005041
19	311,1	-0,006733
20	311,6	-0,005601
21	312,2	-0,004469
22	312,8	-0,00599
23	313,4	-0,005525
24	313,9	-0,005059
25	314,5	-0,00445
26	315,1	-0,004953
27	315,7	-0,005456
28	316,2	-0,006129
29	316,8	-0,004365
30	317,4	-0,002601
31	318	-0,004788
32	318,5	-0,004429
33	319,1	-0,004071
34	319,7	-0,003812
35	320,3	-0,004725
36	320,8	-0,002909
37	321,4	-0,00277
38	322	-0,003693
39	322,6	-0,004617
40	323,1	-0,006567
41	323,7	-0,00559
42	324,3	-0,005186
43	324,9	-0,005946
44	325,4	-0,004065
45	326	-0,004622
46	326,6	-0,005179
47	327,2	-0,005366
48	327,7	-0,006935
49	328,3	-0,006746
50	328,9	-0,006565
51	329,5	-0,007381
52	330	-0,002716
53	330,6	-0,00326
54	331,2	-0,002713
55	331,8	-0,005818
56	332,3	-0,005435
57	332,9	-0,00532
58	333,5	-0,006402
59	334,1	-0,005661
60	334,6	-0,00587
61	335,2	-0,005545
62	335,8	-0,007366
63	336,4	-0,007182
64	336,9	-0,006998
65	337,5	-0,006321
66	338,1	-0,005645
67	338,7	-0,005087
68	339,2	-0,00453
69	339,8	-0,005188
70	340,4	-0,002705
71	341	-0,004457
72	341,6	-0,005046
73	342,1	-0,005326
74	342,7	-0,005536
75	343,3	-0,004761
76	343,9	-0,004539
77	344,4	-0,004825
78	345	-0,005256
79	345,6	-0,003568
80	346,2	-0,004268
81	346,7	-0,004968
82	347,3	-0,00533
83	347,9	-0,005771
84	348,5	-0,004061
85	349	-0,005295
86	349,6	-0,005245
87	350,2	-0,005194
88	350,8	-0,00627
89	351,3	-0,006424
90	351,9	-0,004658
91	352,5	-0,006145
92	353,1	-0,004826
93	353,6	-0,003506
94	354,2	-0,003972
95	354,8	-0,004438
96	355,4	-0,005383
97	355,9	-0,003837
98	356,5	-0,003068
99	357,1	-0,004639
100	357,7	-0,006211
101	358,2	-0,007028
102	358,8	-0,005897
103	359,4	-0,008125
104	360	-0,00754
105	360,5	-0,006955
106	361,1	-0,008087
107	361,7	-0,005418
108	362,3	-0,004522
109	362,8	-0,005365
110	363,4	-0,006208
111	364	-0,005192
112	364,6	-0,004954
113	365,1	-0,004715
114	365,7	-0,003098
115	366,3	-0,005694
116	366,9	-0,006418
117	367,5	-0,006384
118	368	-0,006217
119	368,6	-0,006051
120	369,2	-0,006202
121	369,8	-0,008133
122	370,4	-0,007008
123	370,9	-0,006301
124	371,5	-0,006796
125	372,1	-0,005527
126	372,7	-0,004842
127	373,3	-0,006911
128	373,8	-0,003411
129	374,4	-0,003601
130	375	-0,001837
131	375,6	-0,00236
132	376,2	-0,002883
133	376,7	-0,003187
134	377,3	-0,003491
135	377,9	-0,00349
136	378,5	-0,003489
137	379,1	-0,004314
138	379,6	-0,005139
139	380,2	-0,004337
140	380,8	-0,005131
141	381,4	-0,004023
142	382	-0,00339
143	382,5	-0,003488
144	383,1	-0,003627
145	383,7	-0,003916
146	384,3	-0,003768
147	384,9	-0,003621
148	385,4	-0,00333
149	386	-0,003447
150	386,6	-0,003831
151	387,2	-0,00337
152	387,8	-0,002909
153	388,3	-0,003035
154	388,9	-0,003405
155	389,5	-0,002886
156	390,1	-0,004209
157	390,7	-0,003952
158	391,2	-0,003695
159	391,8	-0,003505
160	392,4	-0,003408
161	393	-0,003311
162	393,6	-0,003602
