V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	200_1100_1035_2
Date of Measurement	2008-4-24 1:40:13
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	29,589
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:200_1100_1035_2	Y:200_1100_1035_2
0	300,3	-0,01221
1	300,8	-0,00476
2	301,4	-0,004292
3	302	-0,006001
4	302,6	-0,005361
5	303,1	-0,004722
6	303,7	-0,001617
7	304,3	-0,003315
8	304,8	-0,0003975
9	305,4	-0,002503
10	306	-0,001413
11	306,5	-0,00289
12	307,1	-0,004368
13	307,7	-0,01031
14	308,2	-0,008461
15	308,8	-0,009149
16	309,4	-0,006914
17	309,9	-0,004679
18	310,5	-0,004233
19	311,1	-0,009487
20	311,6	-0,007317
21	312,2	-0,005141
22	312,8	-0,005109
23	313,4	-0,00838
24	313,9	-0,008708
25	314,5	-0,007182
26	315,1	-0,005651
27	315,7	-0,006549
28	316,2	-0,00744
29	316,8	-0,005157
30	317,4	-0,006334
31	318	-0,005093
32	318,5	-0,005496
33	319,1	-0,005899
34	319,7	-0,00375
35	320,3	-0,00606
36	320,8	-0,008364
37	321,4	-0,005947
38	322	-0,005168
39	322,6	-0,008805
40	323,1	-0,009176
41	323,7	-0,007435
42	324,3	-0,005694
43	324,9	-0,009052
44	325,4	-0,00621
45	326	-0,006076
46	326,6	-0,007704
47	327,2	-0,009331
48	327,7	-0,01045
49	328,3	-0,008198
50	328,9	-0,01202
51	329,5	-0,01172
52	330	-0,01143
53	330,6	-0,009219
54	331,2	-0,007011
55	331,8	-0,008902
56	332,3	-0,004894
57	332,9	-0,004163
58	333,5	-0,004486
59	334,1	-0,004808
60	334,6	-0,00888
61	335,2	-0,006318
62	335,8	-0,008783
63	336,4	-0,01124
64	336,9	-0,005001
65	337,5	-0,008466
66	338,1	-0,00513
67	338,7	-0,009756
68	339,2	-0,006081
69	339,8	-0,008563
70	340,4	-0,003379
71	341	-0,005608
72	341,6	-0,004948
73	342,1	-0,007027
74	342,7	-0,007747
75	343,3	-0,008466
76	343,9	-0,007059
77	344,4	-0,008998
78	345	-0,01094
79	345,6	-0,009772
80	346,2	-0,01065
81	346,7	-0,009181
82	347,3	-0,009342
83	347,9	-0,01175
84	348,5	-0,007059
85	349	-0,005904
86	349,6	-0,006575
87	350,2	-0,007247
88	350,8	-0,008327
89	351,3	-0,01194
90	351,9	-0,009326
91	352,5	-0,01193
92	353,1	-0,01132
93	353,6	-0,01072
94	354,2	-0,009659
95	354,8	-0,01278
96	355,4	-0,01343
97	355,9	-0,0091
98	356,5	-0,00477
99	357,1	-0,01055
100	357,7	-0,012
101	358,2	-0,01346
102	358,8	-0,009514
103	359,4	-0,01577
104	360	-0,01536
105	360,5	-0,01496
106	361,1	-0,01331
107	361,7	-0,01165
108	362,3	-0,01021
109	362,8	-0,01061
110	363,4	-0,01569
111	364	-0,01318
112	364,6	-0,01398
113	365,1	-0,01081
114	365,7	-0,007634
115	366,3	-0,01081
116	366,9	-0,01398
117	367,5	-0,009052
118	368	-0,01092
119	368,6	-0,0096
120	369,2	-0,009321
121	369,8	-0,01446
122	370,4	-0,01275
123	370,9	-0,01105
124	371,5	-0,01311
125	372,1	-0,009686
126	372,7	-0,008891
127	373,3	-0,01023
128	373,8	-0,004615
129	374,4	-0,005608
130	375	-0,002761
131	375,6	-0,005931
132	376,2	-0,006962
133	376,7	-0,003997
134	377,3	-0,005163
135	377,9	-0,004894
136	378,5	-0,006328
137	379,1	-0,007757
138	379,6	-0,008397
139	380,2	-0,00917
140	380,8	-0,009251
141	381,4	-0,006978
142	382	-0,004701
143	382,5	-0,006119
144	383,1	-0,006334
145	383,7	-0,007591
146	384,3	-0,007784
147	384,9	-0,008112
148	385,4	-0,006823
149	386	-0,005533
150	386,6	-0,007387
151	387,2	-0,006613
152	387,8	-0,005834
153	388,3	-0,0044
154	388,9	-0,004174
155	389,5	-0,003943
156	390,1	-0,005549
157	390,7	-0,007156
158	391,2	-0,002842
159	391,8	-0,004453
160	392,4	-0,005028
161	393	-0,005254
162	393,6	-0,005856
163	394,1	-0,005318
164	394,7	-0,004781
165	395,3	-0,007011
166	395,9	-0,002632
167	396,5	-0,004179
168	397	-0,003508
169	397,6	-0,004942
170	398,2	-0,005625
171	398,8	-0,006301
172	399,4	-0,003906
173	399,9	-0,00361
174	400,5	-0,004894
175	401,1	-0,006178
176	401,7	-0,002272
177	402,3	-0,006065
178	402,8	-0,006194
179	403,4	-0,005576
180	404	-0,004958
181	404,6	-0,004803
182	405,2	-0,006312
183	405,7	-0,004776
184	406,3	-0,005367
185	406,9	-0,00469
186	407,5	-0,004894
187	408	-0,00607
188	408,6	-0,005222
189	409,2	-0,005651
190	409,8	-0,004717
191	410,4	-0,004249
192	410,9	-0,005163
193	411,5	-0,004502
194	412,1	-0,003836
195	412,7	-0,004491
196	413,2	-0,003368
197	413,8	-0,003234
198	414,4	-0,004486
199	415	-0,00382
200	415,6	-0,004754
201	416,1	-0,004174
202	416,7	-0,004561
203	417,3	-0,004948
204	417,9	-0,006382
205	418,4	-0,00549
206	419	-0,004599
207	419,6	-0,005334
208	420,2	-0,005039
209	420,8	-0,004738
210	421,3	-0,005275
211	421,9	-0,005807
212	422,5	-0,005555
213	423,1	-0,005302
214	423,6	-0,006414
215	424,2	-0,006178
216	424,8	-0,005936
217	425,4	-0,005313
218	425,9	-0,00469
219	426,5	-0,005361
220	427,1	-0,006033
221	427,7	-0,00643
222	428,3	-0,00534
223	428,8	-0,007102
224	429,4	-0,006978
225	430	-0,006849
226	430,6	-0,007113
227	431,1	-0,009315
228	431,7	-0,006828
229	432,3	-0,006167
230	432,9	-0,006543
231	433,5	-0,004448
232	434	-0,00599
233	434,6	-0,004319
