V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	REF-200_1100_1035-2008-4-24
Date of Measurement	2008-4-24 1:39:43
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	29,589
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:REF-200_1100_1035-2008-4-24	Y:REF-200_1100_1035-2008-4-24
0	300,3	-0,01249
1	300,8	-0,006667
2	301,4	-0,007569
3	302	-0,008472
4	302,6	-0,008923
5	303,1	-0,006339
6	303,7	-0,00845
7	304,3	-0,007983
8	304,8	-0,007516
9	305,4	-0,005517
10	306	-0,008391
11	306,5	-0,01126
12	307,1	-0,01025
13	307,7	-0,01332
14	308,2	-0,01069
15	308,8	-0,01392
16	309,4	-0,008751
17	309,9	-0,006489
18	310,5	-0,004222
19	311,1	-0,009116
20	311,6	-0,006951
21	312,2	-0,006688
22	312,8	-0,009159
23	313,4	-0,008042
24	313,9	-0,006925
25	314,5	-0,007929
26	315,1	-0,007983
27	315,7	-0,008257
28	316,2	-0,007209
29	316,8	-0,007542
30	317,4	-0,008773
31	318	-0,008622
32	318,5	-0,01009
33	319,1	-0,009256
34	319,7	-0,008413
35	320,3	-0,009976
36	320,8	-0,009423
37	321,4	-0,008864
38	322	-0,005716
39	322,6	-0,009809
40	323,1	-0,01023
41	323,7	-0,009057
42	324,3	-0,009842
43	324,9	-0,00808
44	325,4	-0,007892
45	326	-0,008918
46	326,6	-0,009938
47	327,2	-0,01369
48	327,7	-0,01226
49	328,3	-0,01083
50	328,9	-0,01128
51	329,5	-0,01266
52	330	-0,005383
53	330,6	-0,00657
54	331,2	-0,004647
55	331,8	-0,01015
56	332,3	-0,009648
57	332,9	-0,009745
58	333,5	-0,008219
59	334,1	-0,006688
60	334,6	-0,008644
61	335,2	-0,006017
62	335,8	-0,009568
63	336,4	-0,01311
64	336,9	-0,008021
65	337,5	-0,01055
66	338,1	-0,008262
67	338,7	-0,01037
68	339,2	-0,008278
69	339,8	-0,0091
70	340,4	-0,00628
71	341	-0,008386
72	341,6	-0,008241
73	342,1	-0,008106
74	342,7	-0,007967
75	343,3	-0,01026
76	343,9	-0,004738
77	344,4	-0,006323
78	345	-0,007908
79	345,6	-0,007107
80	346,2	-0,00816
81	346,7	-0,008526
82	347,3	-0,01019
83	347,9	-0,01186
84	348,5	-0,008504
85	349	-0,01184
86	349,6	-0,01094
87	350,2	-0,01005
88	350,8	-0,01261
89	351,3	-0,01112
90	351,9	-0,01013
91	352,5	-0,01293
92	353,1	-0,009788
93	353,6	-0,006645
94	354,2	-0,005737
95	354,8	-0,008783
96	355,4	-0,008166
97	355,9	-0,007548
98	356,5	-0,003959
99	357,1	-0,008697
100	357,7	-0,009852
101	358,2	-0,01101
102	358,8	-0,01055
103	359,4	-0,01279
104	360	-0,01504
105	360,5	-0,01218
106	361,1	-0,01171
107	361,7	-0,01262
108	362,3	-0,01173
109	362,8	-0,01083
110	363,4	-0,01354
111	364	-0,01087
112	364,6	-0,008192
113	365,1	-0,008327
114	365,7	-0,007671
115	366,3	-0,01103
116	366,9	-0,008902
117	367,5	-0,009664
118	368	-0,01042
119	368,6	-0,01121
120	369,2	-0,009928
121	369,8	-0,01223
122	370,4	-0,01454
123	370,9	-0,01061
124	371,5	-0,01103
125	372,1	-0,01032
126	372,7	-0,0096
127	373,3	-0,01349
128	373,8	-0,007215
129	374,4	-0,008773
130	375	-0,004808
131	375,6	-0,005544
132	376,2	-0,005829
133	376,7	-0,005818
134	377,3	-0,005807
135	377,9	-0,004905
136	378,5	-0,004335
137	379,1	-0,005163
138	379,6	-0,005985
139	380,2	-0,007456
140	380,8	-0,007311
141	381,4	-0,007161
142	382	-0,006436
143	382,5	-0,00686
144	383,1	-0,007199
145	383,7	-0,006049
146	384,3	-0,005899
147	384,9	-0,006194
148	385,4	-0,007537
149	386	-0,007806
150	386,6	-0,007945
151	387,2	-0,006436
152	387,8	-0,004926
153	388,3	-0,006651
154	388,9	-0,00657
155	389,5	-0,006489
156	390,1	-0,007956
157	390,7	-0,004932
158	391,2	-0,001902
159	391,8	-0,004308
160	392,4	-0,004958
161	393	-0,00253
162	393,6	-0,004276
163	394,1	-0,004314
164	394,7	-0,004373
165	395,3	-0,005399
166	395,9	-0,00354
167	396,5	-0,004314
168	397	-0,003787
169	397,6	-0,004556
170	398,2	-0,00469
171	398,8	-0,006608
172	399,4	-0,005023
173	399,9	-0,004706
174	400,5	-0,004389
175	401,1	-0,005968
176	401,7	-0,004094
177	402,3	-0,00772
178	402,8	-0,006817
179	403,4	-0,005909
180	404	-0,004539
181	404,6	-0,003621
182	405,2	-0,004969
183	405,7	-0,003997
184	406,3	-0,004346
185	406,9	-0,004389
186	407,5	-0,005587
187	408	-0,00678
188	408,6	-0,00527
189	409,2	-0,00376
190	409,8	-0,00347
191	410,4	-0,004034
192	410,9	-0,003825
193	411,5	-0,004556
194	412,1	-0,004674
195	412,7	-0,006113
196	413,2	-0,005265
197	413,8	-0,00441
198	414,4	-0,004872
199	415	-0,005334
200	415,6	-0,005001
201	416,1	-0,004663
202	416,7	-0,004394
203	417,3	-0,006087
204	417,9	-0,006318
205	418,4	-0,00483
206	419	-0,005426
207	419,6	-0,004792
208	420,2	-0,004872
209	420,8	-0,00635
210	421,3	-0,006081
211	421,9	-0,005807
212	422,5	-0,006248
213	423,1	-0,002831
214	423,6	-0,003658
215	424,2	-0,00448
216	424,8	-0,005807
217	425,4	-0,004437
218	425,9	-0,003062
219	426,5	-0,004846
220	427,1	-0,006624
221	427,7	-0,005275
222	428,3	-0,005061
223	428,8	-0,005856
224	429,4	-0,004679
225	430	-0,003497
226	430,6	-0,003422
227	431,1	-0,005888
228	431,7	-0,005791
229	432,3	-0,005689
230	432,9	-0,006001
231	433,5	-0,00498
232	434	-0,004878
233	434,6	-0,004776
234	435,2	-0,004475
235	435,8	-0,004174
236	436,3	-0,004158
237	436,9	-0,004094
238	437,5	-0,004024
239	438,1	-0,006635
240	438,7	-0,005292
241	439,2	-0,0052
242	439,8	-0,005109
243	440,4	-0,004604
244	441	-0,003277
245	441,6	-0,002826
246	442,1	-0,003981
247	442,7	-0,005136
248	443,3	-0,003449
249	443,9	-0,003277
250	444,5	-0,004292
251	445	-0,005308
252	445,6	-0,003438
253	446,2	-0,004604
254	446,8	-0,005136
255	447,4	-0,005668
256	447,9	-0,004932
257	448,5	-0,004615
258	449,1	-0,004292
259	449,7	-0,004368
260	450,3	-0,00354
261	450,8	-0,004174
262	451,4	-0,004808
263	452	-0,003943
264	452,6	-0,004754
265	453,2	-0,004357
266	453,7	-0,004137
267	454,3	-0,005485
268	454,9	-0,006006
269	455,5	-0,005039
270	456,1	-0,00556
271	456,6	-0,004846
272	457,2	-0,005968
273	457,8	-0,006119
274	458,4	-0,006092
275	459	-0,006065
276	459,5	-0,004496
277	460,1	-0,004029
278	460,7	-0,003315
279	461,3	-0,004174
280	461,9	-0,005034
281	462,4	-0,003755
282	463	-0,004792
283	463,6	-0,004872
284	464,2	-0,005936
285	464,8	-0,002267
286	465,3	-0,004518
287	465,9	-0,004915
288	466,5	-0,004615
289	467,1	-0,004679
290	467,7	-0,006183
291	468,2	-0,007687
292	468,8	-0,005469
293	469,4	-0,00563
294	470	-0,005313
295	470,5	-0,004996
296	471,1	-0,007247
297	471,7	-0,005909
298	472,3	-0,004572
299	472,9	-0,004539
300	473,4	-0,004502
301	474	-0,004738
302	474,6	-0,003234
303	475,2	-0,006065
304	475,8	-0,003035
305	476,3	-0,002847
306	476,9	-0,00411
307	477,5	-0,005367
308	478,1	-0,005071
309	478,7	-0,004776
310	479,2	-0,005904
311	479,8	-0,005426
312	480,4	-0,007451
313	481	-0,004641
314	481,6	-0,003986
315	482,1	-0,003325
316	482,7	-0,002788
317	483,3	-0,00354
318	483,9	-0,004292
319	484,5	-0,003196
320	485	-0,0021
321	485,6	-0,002122
322	486,2	-0,001628
323	486,8	-0,004539
324	487,4	-0,003524
325	487,9	-0,003873
326	488,5	-0,004222
327	489,1	-0,004996
328	489,7	-0,00577
329	490,3	-0,005163
330	490,8	-0,00512
331	491,4	-0,005383
332	492	-0,00325
333	492,6	-0,004717
334	493,2	-0,004341
335	493,7	-0,003959
336	494,3	-0,003594
337	494,9	-0,004491
338	495,5	-0,005388
339	496,1	-0,005942
340	496,6	-0,004335
341	497,2	-0,003873
342	497,8	-0,004577
343	498,4	-0,005281
344	499	-0,004545
345	499,5	-0,005823
346	500,1	-0,004513
347	500,7	-0,006162
348	501,3	-0,005523
349	501,9	-0,004878
350	502,4	-0,008262
351	503	-0,008321
352	503,6	-0,007204
353	504,2	-0,006081
354	504,8	-0,005555
355	505,3	-0,006006
356	505,9	-0,003873
357	506,5	-0,004846
358	507,1	-0,004921
359	507,6	-0,005985
360	508,2	-0,004835
361	508,8	-0,005367
362	509,4	-0,001682
363	510	-0,003701
364	510,5	-0,003519
365	511,1	-0,004018
366	511,7	-0,004513
367	512,3	-0,005125
368	512,9	-0,005818
369	513,4	-0,005517
370	514	-0,006269
371	514,6	-0,005646
372	515,2	-0,005023
373	515,8	-0,00448
374	516,3	-0,003938
375	516,9	-0,006355
376	517,5	-0,005313
377	518,1	-0,004958
378	518,7	-0,004953
379	519,2	-0,005625
380	519,8	-0,005576
381	520,4	-0,005528
382	521	-0,006285
383	521,6	-0,00542
384	522,1	-0,004556
385	522,7	-0,004222
386	523,3	-0,00599
387	523,9	-0,005882
388	524,5	-0,005807
389	525	-0,005732
390	525,6	-0,005061
391	526,2	-0,008418
392	526,8	-0,007478
393	527,4	-0,006532
394	527,9	-0,004593
395	528,5	-0,006823
396	529,1	-0,006339
397	529,7	-0,00585
398	530,3	-0,006447
399	530,8	-0,006097
400	531,4	-0,005743
401	532	-0,0052
402	532,6	-0,004658
403	533,2	-0,006361
404	533,7	-0,003691
405	534,3	-0,003535
406	534,9	-0,004695
407	535,5	-0,002793
408	536,1	-0,005071
409	536,6	-0,003341
410	537,2	-0,005463
411	537,8	-0,00758
412	538,4	-0,005641
413	539	-0,005146
414	539,5	-0,005249
415	540,1	-0,005146
416	540,7	-0,005044
417	541,3	-0,004459
418	541,9	-0,004298
419	542,4	-0,006092
420	543	-0,00577
421	543,6	-0,005442
422	544,2	-0,007322
423	544,8	-0,007231
424	545,3	-0,007134
425	545,9	-0,007048
426	546,5	-0,006957
427	547,1	-0,006323
428	547,7	-0,005689
429	548,2	-0,001542
430	548,8	-0,001757
431	549,4	-0,001972
432	550	-0,003202
433	550,6	-0,003057
