V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	200_1100_1035_12
Date of Measurement	2008-4-24 0:43:21
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	64,343
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:200_1100_1035_12	Y:200_1100_1035_12
0	300,3	0,0601
1	300,8	0,05911
2	301,4	0,05811
3	302	0,04989
4	302,6	0,05037
5	303,1	0,05085
6	303,7	0,05016
7	304,3	0,04423
8	304,8	0,04801
9	305,4	0,04626
10	306	0,04738
11	306,5	0,0485
12	307,1	0,04897
13	307,7	0,04943
14	308,2	0,04384
15	308,8	0,04546
16	309,4	0,04707
17	309,9	0,04414
18	310,5	0,04603
19	311,1	0,04792
20	311,6	0,04591
21	312,2	0,04588
22	312,8	0,04586
23	313,4	0,04394
24	313,9	0,04376
25	314,5	0,04412
26	315,1	0,04448
27	315,7	0,04253
28	316,2	0,0424
29	316,8	0,04184
30	317,4	0,04128
31	318	0,04094
32	318,5	0,04077
33	319,1	0,0406
34	319,7	0,03989
35	320,3	0,03961
36	320,8	0,03991
37	321,4	0,04022
38	322	0,04066
39	322,6	0,0376
40	323,1	0,03799
41	323,7	0,03839
42	324,3	0,04278
43	324,9	0,0419
44	325,4	0,03873
45	326	0,03866
46	326,6	0,03807
47	327,2	0,03794
48	327,7	0,03782
49	328,3	0,04115
50	328,9	0,04
51	329,5	0,03884
52	330	0,04403
53	330,6	0,04232
54	331,2	0,04061
55	331,8	0,03866
56	332,3	0,03846
57	332,9	0,03825
58	333,5	0,03812
59	334,1	0,03792
60	334,6	0,04088
61	335,2	0,03984
62	335,8	0,0388
63	336,4	0,0375
64	336,9	0,03898
65	337,5	0,04046
66	338,1	0,03913
67	338,7	0,03781
68	339,2	0,04143
69	339,8	0,03758
70	340,4	0,04189
71	341	0,03783
72	341,6	0,0386
73	342,1	0,03938
74	342,7	0,03944
75	343,3	0,03951
76	343,9	0,04065
77	344,4	0,04178
78	345	0,04064
79	345,6	0,0395
80	346,2	0,04053
81	346,7	0,04157
82	347,3	0,03959
83	347,9	0,03762
84	348,5	0,04078
85	349	0,04015
86	349,6	0,04003
87	350,2	0,04178
88	350,8	0,04353
89	351,3	0,04159
90	351,9	0,03966
91	352,5	0,03982
92	353,1	0,03997
93	353,6	0,04179
94	354,2	0,04361
95	354,8	0,04137
96	355,4	0,03914
97	355,9	0,03998
98	356,5	0,04083
99	357,1	0,04341
100	357,7	0,0397
101	358,2	0,03894
102	358,8	0,03895
103	359,4	0,03896
104	360	0,03699
105	360,5	0,03926
106	361,1	0,04153
107	361,7	0,04186
108	362,3	0,0422
109	362,8	0,03974
110	363,4	0,03729
111	364	0,03795
112	364,6	0,03862
113	365,1	0,03726
114	365,7	0,03688
115	366,3	0,0365
116	366,9	0,03588
117	367,5	0,03814
118	368	0,04041
119	368,6	0,03898
120	369,2	0,03878
121	369,8	0,03859
122	370,4	0,03424
123	370,9	0,03294
124	371,5	0,03335
125	372,1	0,03375
126	372,7	0,0364
127	373,3	0,0299
128	373,8	0,0315
129	374,4	0,0331
130	375	0,02876
131	375,6	0,02892
132	376,2	0,02908
133	376,7	0,03022
134	377,3	0,03104
135	377,9	0,02714
136	378,5	0,02794
137	379,1	0,02873
138	379,6	0,0268
139	380,2	0,02487
140	380,8	0,02347
141	381,4	0,02421
142	382	0,02495
143	382,5	0,02361
144	383,1	0,02227
145	383,7	0,02118
146	384,3	0,02342
147	384,9	0,02317
148	385,4	0,02293
149	386	0,02271
150	386,6	0,02249
151	387,2	0,02317
152	387,8	0,02385
153	388,3	0,02343
154	388,9	0,0235
155	389,5	0,02357
156	390,1	0,02267
157	390,7	0,02305
158	391,2	0,02342
159	391,8	0,02419
160	392,4	0,02496
161	393	0,02643
162	393,6	0,02654
163	394,1	0,02857
164	394,7	0,0306
165	395,3	0,03257
166	395,9	0,03345
167	396,5	0,03433
168	397	0,03587
169	397,6	0,03741
170	398,2	0,03735
171	398,8	0,03728
172	399,4	0,04026
173	399,9	0,04325
174	400,5	0,04574
175	401,1	0,04543
176	401,7	0,05006
177	402,3	0,04831
178	402,8	0,04964
179	403,4	0,05097
180	404	0,05915
181	404,6	0,06059
182	405,2	0,06204
183	405,7	0,06572
184	406,3	0,06857
185	406,9	0,06899
186	407,5	0,07241
187	408	0,07254
188	408,6	0,07268
189	409,2	0,0766
190	409,8	0,07874
191	410,4	0,08187
192	410,9	0,08922
193	411,5	0,09065
194	412,1	0,09166
195	412,7	0,09454
196	413,2	0,09604
197	413,8	0,09862
198	414,4	0,1046
199	415	0,1047
200	415,6	0,1073
201	416,1	0,1104
202	416,7	0,1165
203	417,3	0,1193
204	417,9	0,1203
205	418,4	0,1249
206	419	0,1293
207	419,6	0,1308
208	420,2	0,1411
209	420,8	0,1421
210	421,3	0,1437
211	421,9	0,1452
212	422,5	0,1568
213	423,1	0,1607
214	423,6	0,1619
215	424,2	0,1687
216	424,8	0,1723
217	425,4	0,1759
218	425,9	0,1815
219	426,5	0,1822
220	427,1	0,1797
221	427,7	0,1807
222	428,3	0,1817
223	428,8	0,1911
224	429,4	0,198
225	430	0,2095
226	430,6	0,2281
227	431,1	0,2309
228	431,7	0,2371
229	432,3	0,2433
230	432,9	0,2516
231	433,5	0,2539
232	434	0,257
233	434,6	0,2526
234	435,2	0,2535
235	435,8	0,2544
236	436,3	0,2661
237	436,9	0,2712
238	437,5	0,292
239	438,1	0,2923
240	438,7	0,2926
241	439,2	0,2968
242	439,8	0,3011
243	440,4	0,2983
244	441	0,2998
245	441,6	0,3012
246	442,1	0,3038
247	442,7	0,3063
248	443,3	0,322
249	443,9	0,3239
250	444,5	0,3259
251	445	0,3343
252	445,6	0,3387
253	446,2	0,3399
254	446,8	0,3484
255	447,4	0,3614
256	447,9	0,3617
257	448,5	0,362
258	449,1	0,3557
259	449,7	0,3487
260	450,3	0,3564
261	450,8	0,3641
262	451,4	0,3795
263	452	0,3851
264	452,6	0,3873
265	453,2	0,3896
266	453,7	0,3942
267	454,3	0,4038
268	454,9	0,4069
269	455,5	0,4049
270	456,1	0,4067
271	456,6	0,4086
272	457,2	0,4163
273	457,8	0,4163
274	458,4	0,417
275	459	0,4177
276	459,5	0,4236
277	460,1	0,4155
278	460,7	0,4237
279	461,3	0,4319
280	461,9	0,4504
281	462,4	0,4486
282	463	0,4296
283	463,6	0,4242
284	464,2	0,4258
285	464,8	0,4274
286	465,3	0,4222
287	465,9	0,4247
288	466,5	0,4272
289	467,1	0,4348
290	467,7	0,4187
291	468,2	0,3976
292	468,8	0,3928
293	469,4	0,3879
294	470	0,3692
295	470,5	0,3681
296	471,1	0,3728
297	471,7	0,3776
298	472,3	0,3807
299	472,9	0,3858
300	473,4	0,3835
301	474	0,3874
302	474,6	0,3914
303	475,2	0,3938
304	475,8	0,3962
305	476,3	0,4115
306	476,9	0,4124
307	477,5	0,4316
308	478,1	0,4434
309	478,7	0,4446
310	479,2	0,4333
311	479,8	0,437
312	480,4	0,4407
313	481	0,4564
314	481,6	0,4684
315	482,1	0,4603
316	482,7	0,461
317	483,3	0,4616
318	483,9	0,447
319	484,5	0,4568
320	485	0,4667
321	485,6	0,4633
322	486,2	0,4692
323	486,8	0,4751
324	487,4	0,4651
325	487,9	0,4534
326	488,5	0,4518
327	489,1	0,4372
328	489,7	0,4166
329	490,3	0,409
330	490,8	0,4015
331	491,4	0,3996
332	492	0,386
333	492,6	0,3613
334	493,2	0,3562
335	493,7	0,3598
336	494,3	0,3633
337	494,9	0,3577
338	495,5	0,355
339	496,1	0,3557
340	496,6	0,3564
341	497,2	0,3641
342	497,8	0,345
343	498,4	0,3356
344	499	0,3197
345	499,5	0,3126
346	500,1	0,3096
347	500,7	0,3075
348	501,3	0,296
349	501,9	0,3
350	502,4	0,3039
351	503	0,3082
352	503,6	0,3035
353	504,2	0,3172
354	504,8	0,3308
355	505,3	0,3043
356	505,9	0,3018
357	506,5	0,297
358	507,1	0,2924
359	507,6	0,2797
360	508,2	0,2743
361	508,8	0,2763
362	509,4	0,2782
363	510	0,2697
364	510,5	0,25
365	511,1	0,2491
366	511,7	0,2541
367	512,3	0,259
368	512,9	0,2532
369	513,4	0,253
370	514	0,2549
371	514,6	0,2569
372	515,2	0,2573
373	515,8	0,2504
374	516,3	0,246
375	516,9	0,2462
376	517,5	0,2464
377	518,1	0,2224
378	518,7	0,2167
379	519,2	0,2087
380	519,8	0,2002
381	520,4	0,1908
382	521	0,1828
383	521,6	0,1784
384	522,1	0,1741
385	522,7	0,1726
386	523,3	0,171
387	523,9	0,1594
388	524,5	0,1534
389	525	0,1542
390	525,6	0,155
391	526,2	0,1412
392	526,8	0,1289
393	527,4	0,1216
394	527,9	0,1213
395	528,5	0,118
396	529,1	0,1132
397	529,7	0,112
398	530,3	0,1046
399	530,8	0,09327
400	531,4	0,09049
401	532	0,08868
402	532,6	0,08331
403	533,2	0,0811
404	533,7	0,08117
405	534,3	0,08125
406	534,9	0,07886
407	535,5	0,07828
408	536,1	0,07771
409	536,6	0,06582
410	537,2	0,06398
411	537,8	0,05628
412	538,4	0,06101
413	539	0,05798
414	539,5	0,05496
415	540,1	0,04893
416	540,7	0,04872
417	541,3	0,04852
418	541,9	0,04852
419	542,4	0,04851
420	543	0,04755
421	543,6	0,04832
422	544,2	0,04909
423	544,8	0,04361
424	545,3	0,04224
425	545,9	0,04123
426	546,5	0,03937
427	547,1	0,03706
428	547,7	0,03622
429	548,2	0,03596
430	548,8	0,03571
431	549,4	0,03402
432	550	0,03313
433	550,6	0,03385
434	551,2	0,03457
435	551,8	0,03136
436	552,3	0,03003
437	552,9	0,0287
438	553,5	0,02328
439	554,1	0,02384
440	554,7	0,0244
441	555,3	0,02338
442	555,8	0,02236
443	556,4	0,02162
444	557	0,02088
445	557,6	0,02006
446	558,2	0,01924
447	558,8	0,01902
448	559,4	0,0188
449	559,9	0,01747
450	560,5	0,01656
451	561,1	0,01723
452	561,7	0,01789
453	562,3	0,01704
454	562,9	0,01674
455	563,5	0,01643
456	564	0,01594
457	564,6	0,01544
458	565,2	0,01672
459	565,8	0,01652
460	566,4	0,01633
461	567	0,01584
462	567,5	0,01535
463	568,1	0,01388
464	568,7	0,01453
465	569,3	0,01517
466	569,9	0,0128
467	570,5	0,01201
468	571,1	0,01122
469	571,6	0,01227
470	572,2	0,01065
471	572,8	0,009023
472	573,4	0,01063
473	574	0,01223
474	574,6	0,01266
475	575,1	0,01309
476	575,7	0,01118
477	576,3	0,0107
478	576,9	0,01022
479	577,5	0,01175
480	578,1	0,0111
481	578,7	0,01235
482	579,2	0,0106
483	579,8	0,008846
484	580,4	0,0106
485	581	0,01042
486	581,6	0,01025
487	582,2	0,01026
488	582,7	0,01027
489	583,3	0,01239
490	583,9	0,01255
491	584,5	0,01272
492	585,1	0,01287
493	585,7	0,01302
494	586,3	0,01312
495	586,8	0,01147
496	587,4	0,01225
497	588	0,01303
498	588,6	0,01448
499	589,2	0,0142
500	589,8	0,01393
501	590,3	0,01305
502	590,9	0,01264
503	591,5	0,01263
504	592,1	0,01462
505	592,7	0,01299
506	593,3	0,01136
507	593,9	0,01058
508	594,4	0,01185
509	595	0,01312
510	595,6	0,01264
511	596,2	0,01246
512	596,8	0,01228
513	597,4	0,0125
514	597,9	0,01272
515	598,5	0,01177
516	599,1	0,01242
517	599,7	0,01307
518	600,3	0,01372
519	600,9	0,01322
520	601,5	0,01172
521	602	0,01243
522	602,6	0,01315
523	603,2	0,01337
524	603,8	0,0136
525	604,4	0,01365
526	605	0,0135
527	605,6	0,01505
528	606,1	0,01399
529	606,7	0,01292
530	607,3	0,01335
531	607,9	0,01378
532	608,5	0,01472
533	609,1	0,01566
534	609,6	0,01588
535	610,2	0,0161
536	610,8	0,01546
537	611,4	0,01482
538	612	0,01395
539	612,6	0,01339
540	613,2	0,01358
541	613,7	0,01378
542	614,3	0,01117
543	614,9	0,01029
544	615,5	0,009398
545	616,1	0,009466
546	616,7	0,009535
547	617,2	0,009501
548	617,8	0,01184
549	618,4	0,01418
550	619	0,01631
551	619,6	0,01844
552	620,2	0,01649
553	620,8	0,01455
554	621,3	0,01372
555	621,9	0,01602
556	622,5	0,01557
557	623,1	0,01512
558	623,7	0,01428
559	624,3	0,0151
560	624,8	0,01592
561	625,4	0,01464
562	626	0,01406
563	626,6	0,01348
564	627,2	0,01391
565	627,8	0,01435
566	628,4	0,01454
567	628,9	0,01474
568	629,5	0,01266
569	630,1	0,01488
570	630,7	0,01403
571	631,3	0,01498
572	631,9	0,01593
573	632,4	0,01473
574	633	0,01354
575	633,6	0,01207
576	634,2	0,01294
577	634,8	0,01292
578	635,4	0,0129
579	636	0,01355
580	636,5	0,01421
581	637,1	0,01111
582	637,7	0,01096
583	638,3	0,01254
584	638,9	0,01412
585	639,5	0,0145
586	640	0,01488
587	640,6	0,01371
588	641,2	0,009363
589	641,8	0,01119
590	642,4	0,011
591	643	0,01296
592	643,6	0,01493
593	644,1	0,0144
594	644,7	0,01655
595	645,3	0,01439
596	645,9	0,0143
597	646,5	0,01447
598	647,1	0,01463
599	647,6	0,01507
600	648,2	0,01523
601	648,8	0,01607
602	649,4	0,01691
603	650	0,01682
604	650,6	0,01441
605	651,2	0,01139
606	651,7	0,01333
607	652,3	0,01231
608	652,9	0,01217
609	653,5	0,01203
610	654,1	0,01395
611	654,7	0,01588
612	655,3	0,01656
613	655,8	0,01725
614	656,4	0,01523
615	657	0,01309
616	657,6	0,01535
617	658,2	0,0176
618	658,8	0,01822
619	659,3	0,01892
620	659,9	0,01963
621	660,5	0,01812
622	661,1	0,0159
623	661,7	0,01599
624	662,3	0,01608
625	662,9	0,01656
626	663,4	0,01704
627	664	0,01588
628	664,6	0,01597
629	665,2	0,01607
630	665,8	0,01854
631	666,4	0,01601
632	666,9	0,01625
633	667,5	0,0165
634	668,1	0,01401
635	668,7	0,01478
636	669,3	0,01555
637	669,9	0,01677
638	670,5	0,01799
639	671	0,01703
640	671,6	0,01574
641	672,2	0,01794
642	672,8	0,01609
643	673,4	0,01672
644	674	0,01736
645	674,5	0,01952
646	675,1	0,01933
647	675,7	0,01913
648	676,3	0,02112
649	676,9	0,02311
650	677,5	0,02269
651	678,1	0,02057
652	678,6	0,01662
653	679,2	0,01712
654	679,8	0,01763
655	680,4	0,01821
656	681	0,01879
657	681,6	0,01766
658	682,1	0,0172
659	682,7	0,01674
660	683,3	0,01548
661	683,9	0,01623
662	684,5	0,01697
663	685,1	0,01696
664	685,7	0,01794
665	686,2	0,01891
666	686,8	0,01946
667	687,4	0,01774
668	688	0,01702
669	688,6	0,01726
670	689,2	0,0175
671	689,7	0,01929
672	690,3	0,02108
673	690,9	0,022
674	691,5	0,02193
675	692,1	0,02187
676	692,7	0,02004
677	693,3	0,0204
678	693,8	0,02076
679	694,4	0,01896
680	695	0,01814
681	695,6	0,02166
682	696,2	0,01917
683	696,8	0,01956
684	697,4	0,01996
685	697,9	0,01961
686	698,5	0,01958
687	699,1	0,01998
688	699,7	0,02038
689	700,3	0,02272
690	700,9	0,02386
691	701,4	0,025
692	702	0,02084
693	702,6	0,02157
694	703,2	0,02231
695	703,8	0,02603
696	704,4	0,03115
697	705	0,03508
698	705,5	0,03902
699	706,1	0,03951
700	706,7	0,04124
701	707,3	0,04298
702	707,9	0,0454
703	708,5	0,04804
704	709	0,04882
705	709,6	0,0496
706	710,2	0,05707
707	710,8	0,06268
708	711,4	0,07382
709	712	0,0822
710	712,6	0,08337
711	713,1	0,08233
712	713,7	0,08716
713	714,3	0,09198
714	714,9	0,09383
715	715,5	0,106
716	716,1	0,1126
717	716,6	0,1242
718	717,2	0,1262
719	717,8	0,1281
720	718,4	0,1401
721	719	0,1527
722	719,6	0,1666
723	720,2	0,1739
724	720,7	0,184
725	721,3	0,2005
726	721,9	0,2141
727	722,5	0,2286
728	723,1	0,2655
729	723,7	0,2917
730	724,2	0,3156
731	724,8	0,3215
732	725,4	0,3331
733	726	0,3447
734	726,6	0,3784
735	727,2	0,4273
736	727,8	0,4333
737	728,3	0,4611
738	728,9	0,4764
739	729,5	0,5162
740	730,1	0,5238
741	730,7	0,553
742	731,3	0,5907
743	731,8	0,6303
744	732,4	0,6542
745	733	0,6572
746	733,6	0,7051
747	734,2	0,7958
748	734,8	0,8769
749	735,4	0,9164
750	735,9	0,9583
751	736,5	1,088
752	737,1	1,178
753	737,7	1,225
754	738,3	1,296
755	738,9	1,399
756	739,5	1,467
757	740	1,49
758	740,6	1,584
759	741,2	1,714
760	741,8	1,74
761	742,4	1,711
762	743	1,667
763	743,5	1,673
764	744,1	1,679
765	744,7	1,802
766	745,3	1,897
767	745,9	1,958
768	746,5	1,986
769	747,1	2,039
770	747,6	2,074
771	748,2	2,16
772	748,8	2,222
773	749,4	2,177
774	750	2,241
775	750,6	2,305
776	751,1	2,516
777	751,7	2,647
778	752,3	2,58
779	752,9	2,596
780	753,5	2,613
781	754,1	2,729
782	754,7	2,923
783	755,2	3,107
784	755,8	3,266
785	756,4	3,294
786	757	3,41
787	757,6	3,585
788	758,2	3,793
789	758,7	3,9
790	759,3	4,119
791	759,9	4,281
792	760,5	4,357
793	761,1	4,423
794	761,7	4,806
795	762,3	4,983
796	762,9	4,975
797	763,4	5,105
798	764	5,235
799	764,6	5,261
800	765,2	5,337
801	765,8	5,412
802	766,4	5,55
803	767	5,635
804	767,6	5,623
805	768,1	5,612
806	768,7	5,265
807	769,3	5,287
808	769,9	5,309
809	770,5	5,382
810	771,1	5,459
811	771,7	5,502
812	772,3	5,871
813	772,9	6,431
814	773,4	6,795
815	774	6,912
816	774,6	7,029
817	775,2	6,988
818	775,8	6,833
819	776,4	6,625
820	777	6,388
821	777,6	6,442
822	778,1	6,496
823	778,7	7,126
824	779,3	7,606
825	779,9	7,742
826	780,5	7,831
827	781,1	7,919
828	781,7	8,66
829	782,3	8,95
830	782,9	8,876
831	783,4	8,623
832	784	8,645
833	784,6	8,668
834	785,2	9,428
835	785,8	10,18
836	786,4	10,66
837	787	10,93
838	787,6	11,03
839	788,1	11,69
840	788,7	12,23
841	789,3	12,21
842	789,9	12,3
843	790,5	12,39
844	791,1	11,96
845	791,7	11,56
