V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	200_1100_1035_5
Date of Measurement	2008-4-24 0:30:57
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	34,78
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:200_1100_1035_5	Y:200_1100_1035_5
0	300,3	0,1242
1	300,8	0,1265
2	301,4	0,1288
3	302	0,1261
4	302,6	0,1234
5	303,1	0,1149
6	303,7	0,1119
7	304,3	0,1089
8	304,8	0,1099
9	305,4	0,1108
10	306	0,1103
11	306,5	0,1099
12	307,1	0,108
13	307,7	0,1062
14	308,2	0,09675
15	308,8	0,09832
16	309,4	0,0999
17	309,9	0,1017
18	310,5	0,1035
19	311,1	0,1
20	311,6	0,1042
21	312,2	0,1085
22	312,8	0,107
23	313,4	0,1056
24	313,9	0,1074
25	314,5	0,1092
26	315,1	0,1093
27	315,7	0,1095
28	316,2	0,1113
29	316,8	0,1131
30	317,4	0,1185
31	318	0,121
32	318,5	0,127
33	319,1	0,1303
34	319,7	0,1312
35	320,3	0,1342
36	320,8	0,1325
37	321,4	0,1366
38	322	0,1407
39	322,6	0,1375
40	323,1	0,1343
41	323,7	0,1363
42	324,3	0,1383
43	324,9	0,1385
44	325,4	0,1366
45	326	0,1347
46	326,6	0,1295
47	327,2	0,13
48	327,7	0,1306
49	328,3	0,1319
50	328,9	0,1333
51	329,5	0,1252
52	330	0,131
53	330,6	0,1367
54	331,2	0,1331
55	331,8	0,1294
56	332,3	0,127
57	332,9	0,1276
58	333,5	0,1282
59	334,1	0,1273
60	334,6	0,1274
61	335,2	0,1274
62	335,8	0,1231
63	336,4	0,1188
64	336,9	0,125
65	337,5	0,1311
66	338,1	0,1239
67	338,7	0,1167
68	339,2	0,1204
69	339,8	0,1241
70	340,4	0,1253
71	341	0,1264
72	341,6	0,1221
73	342,1	0,1211
74	342,7	0,1202
75	343,3	0,1201
76	343,9	0,1234
77	344,4	0,1267
78	345	0,1234
79	345,6	0,123
80	346,2	0,1226
81	346,7	0,1205
82	347,3	0,1271
83	347,9	0,1337
84	348,5	0,1331
85	349	0,1324
86	349,6	0,128
87	350,2	0,1341
88	350,8	0,1403
89	351,3	0,1356
90	351,9	0,1344
91	352,5	0,1341
92	353,1	0,1349
93	353,6	0,1356
