V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	200_1100_1035_6
Date of Measurement	2008-4-24 0:31:32
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	32,878
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:200_1100_1035_6	Y:200_1100_1035_6
0	300,3	0,1402
1	300,8	0,139
2	301,4	0,1377
3	302	0,1301
4	302,6	0,1293
5	303,1	0,129
6	303,7	0,1287
7	304,3	0,1205
8	304,8	0,1207
9	305,4	0,121
10	306	0,1218
11	306,5	0,1188
12	307,1	0,1178
13	307,7	0,1168
14	308,2	0,1155
15	308,8	0,1177
16	309,4	0,1199
17	309,9	0,1175
18	310,5	0,1205
19	311,1	0,1235
20	311,6	0,1217
21	312,2	0,125
22	312,8	0,1284
23	313,4	0,1316
24	313,9	0,1348
25	314,5	0,1541
26	315,1	0,1618
27	315,7	0,1828
28	316,2	0,2038
29	316,8	0,2251
30	317,4	0,2558
31	318	0,2844
32	318,5	0,3117
33	319,1	0,3375
34	319,7	0,3472
35	320,3	0,3717
36	320,8	0,3921
37	321,4	0,4045
38	322	0,4207
39	322,6	0,4377
40	323,1	0,4409
41	323,7	0,4522
42	324,3	0,4578
43	324,9	0,4626
44	325,4	0,463
45	326	0,4634
46	326,6	0,4642
47	327,2	0,465
48	327,7	0,4649
49	328,3	0,4649
50	328,9	0,4623
51	329,5	0,4597
52	330	0,4591
53	330,6	0,4585
54	331,2	0,4551
55	331,8	0,4516
56	332,3	0,4472
57	332,9	0,4428
58	333,5	0,4399
59	334,1	0,436
60	334,6	0,4223
61	335,2	0,4207
62	335,8	0,4192
63	336,4	0,4179
64	336,9	0,4195
65	337,5	0,421
66	338,1	0,4187
67	338,7	0,4163
68	339,2	0,4069
69	339,8	0,4049
70	340,4	0,4074
71	341	0,41
72	341,6	0,4015
73	342,1	0,393
74	342,7	0,393
75	343,3	0,3931
76	343,9	0,3904
77	344,4	0,3878
78	345	0,3915
79	345,6	0,3952
80	346,2	0,3827
81	346,7	0,3831
82	347,3	0,3836
83	347,9	0,392
84	348,5	0,3925
85	349	0,3931
86	349,6	0,392
87	350,2	0,3909
88	350,8	0,3851
89	351,3	0,3809
90	351,9	0,3809
91	352,5	0,3809
92	353,1	0,378
93	353,6	0,3793
94	354,2	0,3807
95	354,8	0,3661
96	355,4	0,3617
97	355,9	0,358
98	356,5	0,3592
99	357,1	0,3603
100	357,7	0,3438
101	358,2	0,3414
102	358,8	0,3391
103	359,4	0,3336
104	360	0,324
105	360,5	0,3144
106	361,1	0,314
107	361,7	0,3114
108	362,3	0,3011
109	362,8	0,2888
110	363,4	0,2833
111	364	0,2834
112	364,6	0,2834
113	365,1	0,2677
114	365,7	0,2668
115	366,3	0,2452
116	366,9	0,2407
117	367,5	0,2362
118	368	0,2289
119	368,6	0,225
120	369,2	0,2211
121	369,8	0,2113
122	370,4	0,1844
123	370,9	0,1842
124	371,5	0,1799
125	372,1	0,1719
126	372,7	0,1705
127	373,3	0,1606
128	373,8	0,1476
129	374,4	0,1386
130	375	0,1312
131	375,6	0,1287
132	376,2	0,1204
133	376,7	0,1194
134	377,3	0,1118
135	377,9	0,1088
136	378,5	0,0979
137	379,1	0,09325
138	379,6	0,09207
139	380,2	0,08784
140	380,8	0,08708
141	381,4	0,08512
142	382	0,0819
143	382,5	0,07901
144	383,1	0,07612
145	383,7	0,07107
146	384,3	0,0709
147	384,9	0,07074
148	385,4	0,0704
149	386	0,06383
150	386,6	0,06158
151	387,2	0,05949
152	387,8	0,05951
153	388,3	0,05953
154	388,9	0,05942
155	389,5	0,05767
156	390,1	0,05745
157	390,7	0,05611
158	391,2	0,05314
159	391,8	0,05301
160	392,4	0,0524
161	393	0,05286
162	393,6	0,05332
163	394,1	0,05311
164	394,7	0,05195
165	395,3	0,05015
166	395,9	0,05315
167	396,5	0,05615
168	397	0,05172
169	397,6	0,0498
170	398,2	0,04965
171	398,8	0,04951
172	399,4	0,04975
173	399,9	0,05
174	400,5	0,05143
175	401,1	0,0499
176	401,7	0,05079
177	402,3	0,05168
