V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	200_1100_1035_10
Date of Measurement	2008-4-24 0:40:28
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	39,997
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:200_1100_1035_10	Y:200_1100_1035_10
0	300,3	0,1081
1	300,8	0,1047
2	301,4	0,1012
3	302	0,09597
4	302,6	0,09193
5	303,1	0,09133
6	303,7	0,09073
7	304,3	0,08609
8	304,8	0,08628
9	305,4	0,08647
10	306	0,08753
11	306,5	0,08859
12	307,1	0,08694
13	307,7	0,08529
14	308,2	0,08409
15	308,8	0,08378
16	309,4	0,08346
17	309,9	0,08364
18	310,5	0,08381
19	311,1	0,087
20	311,6	0,08612
21	312,2	0,08607
22	312,8	0,08602
23	313,4	0,08402
24	313,9	0,08361
25	314,5	0,08321
26	315,1	0,07937
27	315,7	0,07744
28	316,2	0,07703
29	316,8	0,07735
30	317,4	0,07767
31	318	0,07635
32	318,5	0,07676
33	319,1	0,07718
34	319,7	0,08018
35	320,3	0,08045
36	320,8	0,08072
37	321,4	0,08206
38	322	0,08341
39	322,6	0,08082
40	323,1	0,08048
41	323,7	0,08093
42	324,3	0,0814
43	324,9	0,08214
44	325,4	0,07903
45	326	0,07591
46	326,6	0,07667
47	327,2	0,07742
48	327,7	0,08047
49	328,3	0,07998
50	328,9	0,0795
51	329,5	0,07918
52	330	0,08138
53	330,6	0,08359
54	331,2	0,08118
55	331,8	0,07877
56	332,3	0,0766
57	332,9	0,07853
58	333,5	0,08045
59	334,1	0,07676
60	334,6	0,07839
61	335,2	0,08002
62	335,8	0,07541
63	336,4	0,07542
64	336,9	0,07543
65	337,5	0,07638
66	338,1	0,07642
67	338,7	0,07646
68	339,2	0,07843
69	339,8	0,0804
70	340,4	0,07882
71	341	0,07725
72	341,6	0,07639
73	342,1	0,07553
74	342,7	0,07577
75	343,3	0,07601
76	343,9	0,07667
77	344,4	0,07735
78	345	0,07729
79	345,6	0,07748
80	346,2	0,07767
81	346,7	0,07608
82	347,3	0,07569
83	347,9	0,0753
84	348,5	0,07918
85	349	0,08306
86	349,6	0,08239
87	350,2	0,08174
88	350,8	0,07815
89	351,3	0,07635
90	351,9	0,07766
91	352,5	0,07896
92	353,1	0,07276
93	353,6	0,07725
94	354,2	0,08174
95	354,8	0,07767
96	355,4	0,07808
97	355,9	0,07849
98	356,5	0,07718
99	357,1	0,07588
100	357,7	0,0743
101	358,2	0,07272
102	358,8	0,07609
103	359,4	0,07946
104	360	0,07567
105	360,5	0,07606
106	361,1	0,07646
107	361,7	0,07965
108	362,3	0,08285
109	362,8	0,07538
110	363,4	0,06959
111	364	0,07248
112	364,6	0,07537
113	365,1	0,07294
114	365,7	0,07285
115	366,3	0,07275
116	366,9	0,07029
117	367,5	0,07138
118	368	0,07247
119	368,6	0,07144
120	369,2	0,07268
121	369,8	0,07393
122	370,4	0,06817
123	370,9	0,06552
124	371,5	0,06286
125	372,1	0,06238
126	372,7	0,0624
127	373,3	0,06241
128	373,8	0,06012
129	374,4	0,05784
130	375	0,0547
131	375,6	0,05342
132	376,2	0,0556
133	376,7	0,05777
134	377,3	0,05515
135	377,9	0,04817
136	378,5	0,04823
137	379,1	0,04829
138	379,6	0,04518
139	380,2	0,04425
140	380,8	0,04473
141	381,4	0,04521
142	382	0,04282
143	382,5	0,04141
144	383,1	0,03947
145	383,7	0,03923
146	384,3	0,04122
147	384,9	0,04321
148	385,4	0,0391
149	386	0,03979
150	386,6	0,04049
151	387,2	0,03956
152	387,8	0,03865
153	388,3	0,03793
154	388,9	0,03742
155	389,5	0,03715
156	390,1	0,03688
157	390,7	0,0355
158	391,2	0,03665
159	391,8	0,0378
160	392,4	0,03726
161	393	0,03673
162	393,6	0,03625
163	394,1	0,0362
164	394,7	0,03614
165	395,3	0,03381
166	395,9	0,03376
167	396,5	0,03371
168	397	0,03366
169	397,6	0,0336
170	398,2	0,0346
171	398,8	0,03559
172	399,4	0,03665
173	399,9	0,0377
174	400,5	0,03332
175	401,1	0,03282
176	401,7	0,03483
177	402,3	0,03683
178	402,8	0,03296
179	403,4	0,0329
180	404	0,03382
181	404,6	0,03475
182	405,2	0,0333
183	405,7	0,0328
184	406,3	0,03279
185	406,9	0,03398
186	407,5	0,03517
187	408	0,03322
188	408,6	0,03127
189	409,2	0,03104
190	409,8	0,03103
191	410,4	0,03243
192	410,9	0,03384
193	411,5	0,03284
194	412,1	0,03267
195	412,7	0,03251
196	413,2	0,03242
197	413,8	0,03234
198	414,4	0,03155
199	415	0,03144
200	415,6	0,03132
201	416,1	0,03076
202	416,7	0,03238
203	417,3	0,03399
204	417,9	0,03193
205	418,4	0,02988
206	419	0,03029
207	419,6	0,03071
208	420,2	0,03251
209	420,8	0,02858
210	421,3	0,02892
211	421,9	0,02927
212	422,5	0,02905
213	423,1	0,02951
214	423,6	0,02998
215	424,2	0,03169
216	424,8	0,03069
217	425,4	0,03155
218	425,9	0,03241
219	426,5	0,02943
220	427,1	0,02646
221	427,7	0,0272
222	428,3	0,02795
223	428,8	0,02617
224	429,4	0,02615
225	430	0,02915
226	430,6	0,02738
227	431,1	0,02561
228	431,7	0,02647
229	432,3	0,02733
230	432,9	0,02759
231	433,5	0,02784
232	434	0,02936
233	434,6	0,03087
234	435,2	0,02967
235	435,8	0,02992
236	436,3	0,03016
237	436,9	0,0303
238	437,5	0,03045
239	438,1	0,02831
240	438,7	0,02804
241	439,2	0,02777
242	439,8	0,02745
243	440,4	0,02712
244	441	0,02824
245	441,6	0,02937
246	442,1	0,03027
247	442,7	0,03116
248	443,3	0,03171
249	443,9	0,03227
250	444,5	0,03068
251	445	0,0291
252	445,6	0,02907
253	446,2	0,02913
254	446,8	0,02919
255	447,4	0,02952
256	447,9	0,02926
257	448,5	0,029
258	449,1	0,02642
259	449,7	0,02426
260	450,3	0,02689
261	450,8	0,02721
262	451,4	0,02753
263	452	0,02743
264	452,6	0,02759
265	453,2	0,02776
266	453,7	0,028
267	454,3	0,02755
268	454,9	0,0271
269	455,5	0,02701
270	456,1	0,02671
271	456,6	0,02757
272	457,2	0,02843
273	457,8	0,02766
274	458,4	0,0269
275	459	0,02856
276	459,5	0,03022
277	460,1	0,02883
278	460,7	0,02913
279	461,3	0,02944
280	461,9	0,02932
281	462,4	0,02922
282	463	0,02895
283	463,6	0,02701
284	464,2	0,02721
285	464,8	0,0274
286	465,3	0,02751
287	465,9	0,02763
288	466,5	0,02861
289	467,1	0,0296
290	467,7	0,02791
291	468,2	0,02518
292	468,8	0,02516
293	469,4	0,02577
294	470	0,02638
295	470,5	0,02756
296	471,1	0,02875
297	471,7	0,02644
298	472,3	0,02782
299	472,9	0,0292
300	473,4	0,02906
301	474	0,02892
302	474,6	0,02834
303	475,2	0,02777
304	475,8	0,02712
305	476,3	0,02727
306	476,9	0,02741
307	477,5	0,02843
308	478,1	0,02909
309	478,7	0,02974
310	479,2	0,02896
311	479,8	0,02818
312	480,4	0,02795
313	481	0,02992
314	481,6	0,0319
315	482,1	0,02993
316	482,7	0,02706
317	483,3	0,02669
318	483,9	0,02692
319	484,5	0,02715
320	485	0,02681
321	485,6	0,02647
322	486,2	0,02824
323	486,8	0,03
324	487,4	0,02767
325	487,9	0,02809
326	488,5	0,02851
327	489,1	0,02642
328	489,7	0,02566
329	490,3	0,026
330	490,8	0,02633
331	491,4	0,02807
332	492	0,02768
333	492,6	0,02729
334	493,2	0,02721
335	493,7	0,02759
336	494,3	0,02798
337	494,9	0,02966
338	495,5	0,02787
339	496,1	0,02768
340	496,6	0,02782
341	497,2	0,02796
342	497,8	0,02769
343	498,4	0,02743
344	499	0,02673
345	499,5	0,02604
346	500,1	0,02732
347	500,7	0,02861
348	501,3	0,02784
349	501,9	0,02706
350	502,4	0,0267
351	503	0,02659
352	503,6	0,02811
353	504,2	0,02963
354	504,8	0,03005
355	505,3	0,03046
356	505,9	0,02891
357	506,5	0,03005
358	507,1	0,03118
359	507,6	0,02719
360	508,2	0,02854
361	508,8	0,0299
362	509,4	0,02808
363	510	0,02664
364	510,5	0,02621
365	511,1	0,0261
366	511,7	0,02761
367	512,3	0,02911
368	512,9	0,02657
369	513,4	0,02727
370	514	0,02798
371	514,6	0,02743
372	515,2	0,02825
