V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	REF-200_1100_1035-2008-4-24
Date of Measurement	2008-4-24 0:51:49
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	792,986
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:REF-200_1100_1035-2008-4-24	Y:REF-200_1100_1035-2008-4-24
0	300,3	0,3094
1	300,8	0,3237
2	301,4	0,2731
3	302	0,2625
4	302,6	0,2717
5	303,1	0,2808
6	303,7	0,2981
7	304,3	0,3061
8	304,8	0,2872
9	305,4	0,2947
10	306	0,3022
11	306,5	0,2796
12	307,1	0,2735
13	307,7	0,2675
14	308,2	0,2818
15	308,8	0,2961
16	309,4	0,2911
17	309,9	0,2922
18	310,5	0,2933
19	311,1	0,3007
20	311,6	0,2973
21	312,2	0,294
22	312,8	0,2547
23	313,4	0,2477
24	313,9	0,2573
25	314,5	0,2669
26	315,1	0,2674
27	315,7	0,2678
28	316,2	0,2655
29	316,8	0,251
30	317,4	0,2365
31	318	0,2378
32	318,5	0,2391
33	319,1	0,248
34	319,7	0,257
35	320,3	0,2586
36	320,8	0,2602
37	321,4	0,2604
38	322	0,2394
39	322,6	0,2185
40	323,1	0,241
41	323,7	0,2637
42	324,3	0,2538
43	324,9	0,239
44	325,4	0,2378
45	326	0,2636
46	326,6	0,2496
47	327,2	0,2356
48	327,7	0,2512
49	328,3	0,2669
50	328,9	0,2723
51	329,5	0,2778
52	330	0,2553
53	330,6	0,261
54	331,2	0,2667
55	331,8	0,2769
56	332,3	0,2714
57	332,9	0,2841
58	333,5	0,2969
59	334,1	0,277
60	334,6	0,2712
61	335,2	0,2723
62	335,8	0,2733
63	336,4	0,2659
64	336,9	0,2695
65	337,5	0,2732
66	338,1	0,2705
67	338,7	0,2865
68	339,2	0,3026
69	339,8	0,3005
70	340,4	0,2845
71	341	0,2684
72	341,6	0,2792
73	342,1	0,2901
74	342,7	0,2848
75	343,3	0,2796
76	343,9	0,2572
77	344,4	0,2772
78	345	0,2554
79	345,6	0,2727
80	346,2	0,2899
81	346,7	0,2819
82	347,3	0,2866
83	347,9	0,2912
84	348,5	0,279
85	349	0,3005
86	349,6	0,2867
87	350,2	0,273
88	350,8	0,2837
89	351,3	0,2944
90	351,9	0,3012
91	352,5	0,308
92	353,1	0,3015
93	353,6	0,3008
94	354,2	0,3002
95	354,8	0,3132
96	355,4	0,3263
97	355,9	0,3433
98	356,5	0,3304
99	357,1	0,3175
100	357,7	0,3179
101	358,2	0,3183
102	358,8	0,3222
103	359,4	0,326
104	360	0,3162
105	360,5	0,3152
106	361,1	0,3375
107	361,7	0,3598
108	362,3	0,3664
109	362,8	0,3729
110	363,4	0,3546
