"Latest: Time (s)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,02;0,098169;-0,00553055555556;0,0654232253087
0,04;0,098049;-0,00441736111111;0,082325617284
0,06;0,09798;-0,00325916666667;0,109087384259
0,08;0,097825;0,00118888888889;0,0865237268519
0,1;0,0981;0,00243888888889;-0,0231321373457
0,12;0,098066;-0,00204861111111;-0,0342986111111
0,14;0,097894;-0,00162222222222;0,0647280092592
0,16;0,097894;0,00315416666667;0,0599035493827
0,18;0,098152;0,0027;-0,0251871141975
0,2;0,098049;0,000184722222222;-0,0338078703704
0,22;0,0981;-3,05555555557E-05;0,0132137345679
0,24;0,097997;0,00176666666667;0,0158969907407
0,26;0,098186;0,00277361111111;-0,0713387345679
0,28;0,098238;-0,00179027777778;-0,125489969136
0,3;0,098083;-0,00516666666667;-0,0474131944445
0,32;0,097928;-0,00375833333333;0,0387345679012
0,34;0,097945;-0,00234583333333;0,0477276234568
0,36;0,09779;0,0007;-0,117527006173
0,38;0,098066;-0,00219583333333;-0,602025462963
0,4;0,097842;-0,0164638888889;-1,51165123457
0,42;0,097756;-0,0530194444444;-2,95576003086
0,44;0,096446;-0,130720833333;-4,66615354938
0,46;0,092913;-0,239059722222;-6,3445003858
0,48;0,087639;-0,388543055556;-7,59928433642
0,5;0,078143;-0,571226388889;-7,37465277778
0,52;0,063821;-0,709483333333;-5,80641396605
0,54;0,04881;-0,798716666667;-4,23445216049
0,56;0,031834;-0,8730375;-2,80609182099
0,58;0,013497;-0,918781944444;-1,0075617284
0,6;-0,005616;-0,922694444444;1,2650617284
0,62;-0,024316;-0,871391666667;3,71539930556
0,64;-0,041274;-0,769990277778;5,90519868827
0,66;-0,055889;-0,623526388889;7,42625771605
0,68;-0,066488;-0,458054166667;8,13242862654
0,7;-0,074123;-0,291747222222;8,40313850309
0,72;-0,078208;-0,122147222222;8,54578896605
0,74;-0,079207;0,0544152777778;8,4107349537
0,76;-0,075898;0,223281944444;7,81739583333
0,78;-0,069849;0,369970833333;7,02315779321
0,8;-0,060921;0,503658333333;6,17351658951
0,82;-0,049443;0,619361111111;5,13094521605
0,84;-0,035914;0,716301388889;3,67283757716
0,86;-0,020179;0,775776388889;1,72372299383
0,88;-0,004031;0,786358333333;-0,324832175926
0,9;0,011842;0,758576388889;-2,18094521605
0,92;0,026836;0,696580555556;-3,8586882716
0,94;0,040296;0,599444444444;-5,26429591049
0,96;0,051033;0,483016666667;-6,44700424383
0,98;0,060081;0,339733333333;-7,39889274691
1;0,065079;0,174669444444;-7,67452546296
1,02;0,06682;0,0198666666667;-7,2954224537
1,04;0,065458;-0,116763888889;-6,81834683642
1,06;0,062132;-0,248072222222;-6,43318094136
1,08;0,055773;-0,383370833333;-5,5855632716
1,1;0,046121;-0,483905555556;-4,14053240741
1,12;0,035729;-0,546441666667;-2,73193287037
1,14;0,024079;-0,590205555556;-1,45478395062
1,16;0,011601;-0,603909722222;-0,262559799383
1,18;-0,000412;-0,596747222222;0,749976851852
1,2;-0,012424;-0,575077777778;1,83365933642
1,22;-0,023816;-0,528165277778;3,14053626543
1,24;-0,034019;-0,452066666667;4,5428742284
1,26;-0,042481;-0,3427375;5,69388117284
1,28;-0,048116;-0,211852777778;6,16724729938
1,3;-0,050839;-0,0844027777778;5,99759066358
1,32;-0,051253;0,0313041666667;5,5824537037
1,34;-0,049426;0,137127777778;5,18820987654
1,36;-0,045721;0,238190277778;4,77652006173
1,38;-0,039844;0,332725;4,10750964506
1,4;-0,032157;0,4103;3,05296489198
1,42;-0,022868;0,457329166667;1,86151041667
1,44;-0,013441;0,479119444444;0,897251157407
1,46;-0,003634;0,4910375;0,0217669753086
1,48;0,006482;0,484165277778;-1,051875
1,5;0,016099;0,453775;-2,35527777778
1,52;0,025182;0,391222222222;-3,69380401235
1,54;0,032265;0,299033333333;-4,64770061728
1,56;0,03728;0,195819444444;-5,05104552469
1,58;0,040158;0,0892111111111;-4,96667824074
1,6;0,040727;-0,0098625;-4,48158950617
1,62;0,039417;-0,0913236111111;-3,88477623457
1,64;0,036935;-0,162577777778;-3,37132716049
1,66;0,032868;-0,227706944444;-2,78678626543
1,68;0,027525;-0,276027777778;-2,11079475309
1,7;0,021649;-0,312198611111;-1,42709490741
1,72;0,014772;-0,332673611111;-0,766738040123
1,74;0,008137;-0,340383333333;-0,210574845679
1,76;0,001122;-0,342244444444;0,407955246914
1,78;-0,00584;-0,327445833333;1,19733024691
1,8;-0,012234;-0,2957625;2,06242091049
1,82;-0,017956;-0,245641666667;2,90717785494
1,84;-0,022506;-0,173158333333;3,38916859568
1,86;-0,024884;-0,0989361111111;3,3009066358
1,88;-0,02616;-0,0380430555556;2,99296682099
1,9;-0,026384;0,0192472222222;2,70692322531
1,92;-0,025298;0,0701861111111;2,43247299383
1,94;-0,023471;0,115611111111;2,20429976852
1,96;-0,020645;0,158122222222;1,96460841049
1,98;-0,017112;0,196673611111;1,59209490741
2;-0,012613;0,225348611111;1,04194830247
2,02;-0,007822;0,238715277778;0,45287037037
2,04;-0,002928;0,242144444444;-0,0868287037037
