"Latest: Time (s)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,02;0,106459;0,00531388888889;-0,194527006173
0,04;0,106666;0,000494444444444;-0,122090470679
0,06;0,106493;-0,00231916666667;-0,00577662037036
0,08;0,106407;0,00155833333333;0,0564664351852
0,1;0,106631;0,00252361111111;0,00889544753085
0,12;0,10658;0,000844444444444;-0,00854976851852
0,14;0,106597;0,00133472222222;0,00233989197532
0,16;0,106614;0,0023625;-0,0353375771605
0,18;0,106786;-0,0001875;-0,0630381944444
0,2;0,106597;-0,00228611111111;-0,00704475308642
0,22;0,10658;0,000172222222222;0,0211226851852
0,24;0,106649;0,000781944444445;-0,0401774691358
0,26;0,1067;-0,00223333333333;-0,0666666666667
0,28;0,106528;-0,00390416666667;-0,0076813271605
0,3;0,106476;-0,00261111111111;0,0550462962963
0,32;0,10639;0,000238888888889;0,0336535493827
0,34;0,106562;-0,000329166666666;-0,0248881172839
0,36;0,106425;-0,00258472222222;-0,00416087962962
0,38;0,106407;-0,00249861111111;0,0921354166667
0,4;0,106183;0,00325138888889;0,0911805555555
0,42;0,106631;0,00488055555556;-0,0678510802469
0,44;0,106562;-0,00157777777778;-0,132584876543
0,46;0,106476;-0,0041125;-0,0339891975309
0,48;0,106321;-0,00313333333333;0,0654918981482
0,5;0,106252;0,00213194444444;-0,0315451388889
0,52;0,106528;0,001025;-0,446358024691
0,54;0,106493;-0,0119736111111;-1,15160686728
0,56;0,106183;-0,0381319444444;-2,27794367284
0,58;0,105459;-0,0935444444444;-3,92098572531
0,6;0,103184;-0,192848611111;-5,7147820216
0,62;0,098135;-0,322229166667;-7,39445216049
0,64;0,091241;-0,498868055556;-8,39057098765
0,66;0,078384;-0,686245833333;-7,8679224537
0,68;0,06289;-0,829858333333;-6,31198688272
0,7;0,044915;-0,947576388889;-4,13891782407
0,72;0,023906;-1,00279861111;-1,58332947531
0,74;0,003863;-1,00309305556;0,614911265432
0,76;-0,016595;-0,971884722222;2,4492496142
0,78;-0,035708;-0,900513888889;3,96800925926
0,8;-0,052959;-0,806534722222;5,17591628086
0,82;-0,068108;-0,696120833333;6,5075462963
0,84;-0,081275;-0,554898611111;8,15539737654
0,86;-0,091202;-0,366929166667;9,54214313272
0,88;-0,096476;-0,151930555556;9,83583333333
0,9;-0,096838;0,0448347222222;9,14695023148
0,92;-0,094149;0,214229166667;8,29349537037
0,94;-0,088152;0,372420833333;7,54391010802
0,96;-0,079087;0,517418055556;6,68039544753
0,98;-0,067298;0,648066666667;5,39287615741
1;-0,052511;0,741288888889;3,71285108025
1,02;-0,036897;0,792727777778;2,18913966049
1,04;-0,02049;0,821341666667;0,998578317901
1,06;-0,003824;0,831952777778;-0,160466820988
1,08;0,013066;0,821465277778;-1,62270833333
1,1;0,02968;0,773488888889;-3,38863040123
1,12;0,04476;0,682356944444;-5,00304591049
1,14;0,057272;0,567506944444;-6,29275462963
1,16;0,067888;0,426840277778;-7,28845486111
1,18;0,074679;0,267472222222;-7,78912037037
1,2;0,078522;0,108381944444;-7,86186921296
1,22;0,079056;-0,0519611111111;-7,58180362654
1,24;0,076282;-0,201280555556;-6,92218942901
1,26;0,070732;-0,333776388889;-5,99642554012
1,28;0,062477;-0,44135;-5,0238445216
