"Latest: Time (s)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,02;0,109988;-0,00296388888889;0,0497573302469
0,04;0,109902;-0,00159236111111;0,0437727623457
0,06;0,109988;-0,00237333333333;0,0648559027778
0,08;0,109695;0,000833333333333;0,0880626929012
0,1;0,110005;0,00437777777778;-0,0232486496914
0,12;0,110074;-0,000597222222222;-0,112402006173
0,14;0,109919;-0,00330416666667;-0,0681288580247
0,16;0,10985;-0,00266388888889;-0,0349305555556
0,18;0,109867;-0,00367361111111;-0,0267939814815
0,2;0,109746;-0,00546527777778;0,0360358796296
0,22;0,109539;-0,00284305555556;0,0645891203704
0,24;0,109505;0,00394027777778;-0,302374614198
0,26;0,109971;-0,00464583333333;-1,27690393519
0,28;0,10966;-0,0378930555556;-2,78025462963
0,3;0,109074;-0,107875;-4,65963927469
0,32;0,106401;-0,233240277778;-6,12773533951
0,34;0,099641;-0,364022222222;-7,0032195216
0,36;0,092156;-0,514745833333;-7,57619020062
0,38;0,079447;-0,680731944444;-7,2810474537
0,4;0,06465;-0,828090277778;-5,81165316358
0,42;0,045456;-0,927794444444;-3,55108989198
0,44;0,026383;-0,964177777778;-1,46640625
0,46;0,006654;-0,976554166667;0,183740354938
0,48;-0,013074;-0,959276388889;1,8749382716
0,5;-0,032371;-0,904148611111;3,63204475309
0,52;-0,049875;-0,810847222222;5,23061535494
0,54;-0,065224;-0,689480555556;6,54155671296
0,56;-0,077761;-0,546188888889;7,63521412037
0,58;-0,087418;-0,381786111111;8,51869791667
0,6;-0,093385;-0,198368055556;8,98422839506
0,62;-0,095351;-0,0134819444444;8,9572029321
0,64;-0,093764;0,164231944444;8,63552276235
0,66;-0,088643;0,333163888889;8,15090084877
0,68;-0,080382;0,494747222222;7,37407021605
0,7;-0,068552;0,636631944444;6,14221257716
0,72;-0,054342;0,745301388889;4,62375964506
0,74;-0,038218;0,821427777778;3,05821566358
0,76;-0,021024;0,866845833333;1,50255594136
0,78;-0,003106;0,8828125;-0,121361882716
0,8;0,014846;0,864220833333;-1,87620949074
0,82;0,032005;0,809251388889;-3,70865933642
0,84;0,047784;0,718075;-5,59543402778
0,86;0,061598;0,578919444444;-7,13563078704
0,88;0,071083;0,423602777778;-8,15875771605
0,9;0,07886;0,248941666667;-8,83861496914
0,92;0,081412;0,0577458333333;-8,82776813272
0,94;0,080757;-0,114266666667;-8,27877121914
0,96;0,076584;-0,273456944444;-7,60972222222
0,98;0,069599;-0,417019444444;-6,87907407407
1;0,060046;-0,558404166667;-5,63254436728
1,02;0,046491;-0,656833333333;-3,70227237654
1,04;0,032798;-0,7029625;-1,89361496914
1,06;0,018036;-0,722856944444;-0,527912808642
1,08;0,003585;-0,720555555556;0,613385416667
1,1;-0,011056;-0,699755555556;1,77898148148
1,12;-0,024853;-0,651397222222;3,01369212963
1,14;-0,037528;-0,577804166667;4,14676118827
1,16;-0,048392;-0,479679166667;4,9768441358
1,18;-0,056791;-0,373190277778;5,51364583333
1,2;-0,063378;-0,260045833333;6,02755015432
1,22;-0,067483;-0,132006944444;6,47555555556
1,24;-0,068811;0,00433611111111;6,62530478395
1,26;-0,067276;0,139336111111;6,41391010802
1,28;-0,063085;0,265704166667;5,89847222222
1,3;-0,056411;0,377691666667;5,19281442901
1,32;-0,047806;0,476561111111;4,28820987654
1,34;-0,036976;0,553018055556;3,16689429012
1,36;-0,025284;0,604404166667;1,95058641975
1,38;-0,01247;0,632809722222;0,646248070988
1,4;0,000567;0,629926388889;-0,628885030864
1,42;0,013087;0,603893055556;-1,7226099537
1,44;0,024969;0,559534722222;-2,71776813272
1,46;0,035799;0,495079166667;-3,67644868827
1,48;0,045094;0,410841666667;-4,55269868827
1,5;0,052406;0,312595833333;-5,37172453704
1,52;0,057942;0,1950125;-6,06687885802
1,54;0,060511;0,0618666666667;-6,32170524691
1,56;0,06027;-0,0660069444444;-6,1169212963
1,58;0,057735;-0,185965277778;-5,66545910494
1,6;0,052699;-0,295927777778;-4,99829861111
1,62;0,045594;-0,388279166667;-4,1758275463
1,64;0,036937;-0,464393055556;-3,25455632716
1,66;0,026711;-0,520925;-2,21567322531
1,68;0,015639;-0,551536111111;-1,22526813272
1,7;0,004499;-0,568608333333;-0,275119598765
1,72;-0,0074;-0,5659375;0,827581018519
1,74;-0,018593;-0,536688888889;1,98496334877
1,76;-0,029198;-0,485575;3,08273726852
1,78;-0,038425;-0,410225;3,99099537037
1,8;-0,045823;-0,320775;4,61605709877
1,82;-0,051358;-0,2227;5,04980902778
1,84;-0,054842;-0,1175875;5,35591049383
1,86;-0,056222;-0,00481527777778;5,43713348765
1,88;-0,05498;0,105370833333;5,21547067901
1,9;-0,051841;0,206630555556;4,80127121914
1,92;-0,046599;0,299344444444;4,24901813272
1,94;-0,039649;0,378630555556;3,57121720679
1,96;-0,031216;0,443227777778;2,80463734568
1,98;-0,021714;0,492906944444;1,90630979938
2;-0,011194;0,522868055556;0,839836033951
2,02;-0,000347;0,526911111111;-0,264330632716
2,04;0,01019;0,510283333333;-1,29486111111
2,06;0,020295;0,476108333333;-2,34764853395
2,08;0,029677;0,416568055556;-3,36532600309
2,1;0,037299;0,336731944444;-4,12374807099
2,12;0,043283;0,246536111111;-4,58978009259
2,14;0,047267;0,149505555556;-4,82519868827
2,16;0,049267;0,0512805555556;-4,90882908951
2,18;0,049319;-0,0476333333333;-4,89946180556
2,2;0,047405;-0,147179166667;-4,71458140432
2,22;0,043387;-0,242229166667;-4,21069444444
2,24;0,037385;-0,319734722222;-3,46786072531
2,26;0,030332;-0,380584722222;-2,68979552469
2,28;0,022003;-0,428565277778;-1,84607638889
2,3;0,012811;-0,455134722222;-0,973400848765
2,32;0,00355;-0,465640277778;-0,170858410494
2,34;-0,005986;-0,4627375;0,668607253086
2,36;-0,015281;-0,44045;1,57154899691
2,38;-0,023904;-0,399523611111;2,45189236111
2,4;-0,031544;-0,340713888889;3,229375
2,42;-0,037769;-0,267323611111;3,82429398148
2,44;-0,042391;-0,184144444444;4,21096450617
2,46;-0,045185;-0,0963041666667;4,42547067901
2,48;-0,046288;-0,00574166666667;4,51045910494
2,5;-0,045512;0,0882791666667;4,3554996142
2,52;-0,042581;0,173191666667;3,94432484568
2,54;-0,03839;0,246948611111;3,4468904321
2,56;-0,032578;0,311656944444;2,89040316358
2,58;-0,025715;0,363388888889;2,27250192901
2,6;-0,017903;0,404502777778;1,54773919753
2,62;-0,009228;0,427473611111;0,709130015432
2,64;-0,000502;0,432205555556;-0,124729938272
2,66;0,008241;0,4229125;-0,988072916667
2,68;0,016726;0,394334722222;-1,9108275463
2,7;0,024365;0,3451375;-2,74957561728
2,72;0,030763;0,280936111111;-3,39260030864
2,74;0,035782;0,205461111111;-3,79890432099
2,76;0,039041;0,125452777778;-3,99099729938
2,78;0,040817;0,0439736111111;-4,05812307099
2,8;0,0408;-0,0380347222222;-4,0316087963
2,82;0,039265;-0,118080555556;-3,9141570216
2,84;0,036144;-0,1989;-3,55584683642
2,86;0,031056;-0,265751388889;-2,9189679784
2,88;0,02521;-0,315777777778;-2,24027199074
2,9;0,01826;-0,353969444444;-1,60037229938
2,92;0,01088;-0,380125;-0,942104552469
2,94;0,002861;-0,393438888889;-0,201847993827
2,96;-0,005159;-0,388980555556;0,58194058642
2,98;-0,012936;-0,369233333333;1,33281442901
3;-0,020127;-0,335616666667;2,07278742284
3,02;-0,026612;-0,286347222222;2,78207947531
3,04;-0,031837;-0,222048611111;3,34077353395
3,06;-0,035665;-0,147802777778;3,6249845679
3,08;-0,037752;-0,0722875;3,64788194444
3,1;-0,038459;-0,000763888888889;3,57984760802
3,12;-0,037769;0,0697722222222;3,5254378858
3,14;-0,035717;0,141315277778;3,39113040123
3,16;-0,032078;0,20955;3,0393904321
3,18;-0,027129;0,2662875;2,4953587963
