file,amplitude,frequency_hz
taj2-1,0.0292635,0.8
taj2-2,0.0905955,1.037037037037037
taj2-3,0.127136,1.09375
taj2-4,0.0310135,1.3592233009708738
taj2-5,0.0220115,1.4583333333333333
taj2-6,0.0143165,1.6279069767441863
taj2-8,0.0375725,0.8805031446540879
taj2-9,0.07467,1.0144927536231885
taj2-10,0.1135895,1.0526315789473684
taj2-11,0.13531949999999998,1.09375
taj2-12,0.043456499999999995,1.2727272727272727
taj2-13,0.0679425,1.1965811965811968
taj2-14,0.1137115,1.1290322580645162
taj2-15,0.0161085,1.5730337078651684
