file,amplitude,frequency_rad_s
taj2-1,0.0292635,4.1887902047863905
taj2-2,0.0905955,5.711986642890532
taj2-3,0.127136,5.983986006837702
taj2-4,0.0310135,7.391982714328925
taj2-5,0.0220115,7.853981633974483
taj2-6,0.0143165,8.975979010256552
taj2-7,0.024635999999999998,3.9269908169872414
taj2-8,0.0375725,4.8332194670612205
taj2-9,0.07467,5.463639397547467
taj2-10,0.1135895,5.711986642890532
taj2-11,0.13531949999999998,5.9839860068377
taj2-12,0.043456499999999995,6.981317007977318
taj2-13,0.0679425,6.613879270715353
taj2-14,0.1137115,5.983986006837702
taj2-15,0.0161085,8.377580409572781
