"Latest: Time (s)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,05;0,036564;-0,613277777778;0,0820481481482
0,1;0,006256;-0,615880555556;0,346421759259
0,15;-0,025489;-0,603395;0,858183703704
0,2;-0,056455;-0,545657777778;1,64441049383
0,25;-0,082124;-0,437188333333;2,45289351852
0,3;-0,101476;-0,292896666667;3,09065493827
0,35;-0,112709;-0,118150555556;3,47032314815
0,4;-0,113834;0,0687444444444;3,50319104938
0,45;-0,105301;0,245237222222;3,21468703704
0,5;-0,088373;0,398877222222;2,68123888889
0,55;-0,064365;0,522743888889;1,9079287037
0,6;-0,03423;0,599661666667;0,908065740741
0,65;-0,001966;0,617767777778;-0,196240740741
0,7;0,029813;0,578364444444;-1,27121419753
0,75;0,057941;0,486078888889;-2,22862561728
0,8;0,080304;0,347313888889;-2,97740987654
0,85;0,093926;0,176801666667;-3,43873580247
0,9;0,098617;-0,00951111111111;-3,57516203704
0,95;0,092922;-0,194448333333;-3,37068858025
1;0,078296;-0,358353333333;-2,86668179012
1,05;0,055881;-0,490961111111;-2,1133537037
1,1;0,027321;-0,577057222222;-1,1763058642
1,15;-0,003853;-0,611972222222;-0,149100308642
1,2;-0,036013;-0,592641111111;0,894512654321
1,25;-0,065248;-0,519835555556;1,86845061728
1,3;-0,089861;-0,399855555556;2,68932314815
1,35;-0,106772;-0,241673333333;3,27436080247
1,4;-0,114994;-0,0598127777778;3,54712716049
1,45;-0,112934;0,126864444444;3,47939135802
1,5;-0,10177;0,300723333333;3,09479228395
1,55;-0,081726;0,446416666667;2,44775092593
1,6;-0,055659;0,553953888889;1,58588734568
1,65;-0,024347;0,611682777778;0,563442283951
1,7;0,007796;0,612608888889;-0,518887654321
1,75;0,039074;0,55841;-1,56666512346
1,8;0,065764;0,451044444444;-2,48544259259
1,85;0,085912;0,300602222222;-3,17089691358
1,9;0,09699;0,121278333333;-3,54343950617
1,95;0,098409;-0,0678522222222;-3,5665882716
2;0,089841;-0,248323888889;-3,2617962963
2,05;0,072671;-0,405586111111;-2,6667345679
2,1;0,047694;-0,523829444444;-1,84721049383
