"Latest: Time (s)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
0,05;0,177487;-0,00618333333333;-0,0268277160494
0,1;0,177123;-0,00632916666667;-0,0617370987654
0,15;0,177036;-0,00958766666667;-0,106800648148
0,2;0,176551;-0,0188027777778;-0,1127825
0,25;0,175094;-0,02619;-0,0192182407407
0,3;0,173378;-0,0228155555556;0,10554345679
0,35;0,172355;-0,0103116666667;0,103859876543
0,4;0,172581;-0,002635;-0,153063888889
0,45;0,172529;-0,0110177777778;-0,772241049383
0,5;0,172858;-0,0589966666667;-1,80755216049
0,55;0,170345;-0,186806666667;-2,89167808642
0,6;0,157083;-0,376109444444;-3,37317098765
0,65;0,132311;-0,561382222222;-3,02660061728
0,7;0,098958;-0,702547222222;-2,08106975309
0,75;0,059538;-0,780893888889;-0,822125308642
0,8;0,017916;-0,786676111111;0,504334876543
0,85;-0,021782;-0,725427222222;1,72202808642
0,9;-0,056869;-0,60664;2,74255925926
0,95;-0,084345;-0,440501111111;3,49082469136
1;-0,102097;-0,2444;3,90816141975
1,05;-0,109308;-0,0354505555556;3,96977561728
1,1;-0,105356;0,166718333333;3,68214197531
1,15;-0,091574;0,343733333333;3,1102595679
1,2;-0,069662;0,486187777778;2,31712993827
1,25;-0,041163;0,582936111111;1,3463962963
1,3;-0,009058;0,623682222222;0,299075617284
1,35;0,023237;0,611666666667;-0,73062345679
1,4;0,05406;0,548981666667;-1,70064814815
1,45;0,080288;0,435112777778;-2,50169228395
1,5;0,098923;0,286840555556;-3,0190558642
1,55;0,109602;0,121279444444;-3,23554228395
1,6;0,111283;-0,0489322222222;-3,14645802469
1,65;0,104055;-0,204392222222;-2,7829212963
1,7;0,089822;-0,334524444444;-2,22171358025
1,75;0,069436;-0,433371666667;-1,49336358025
1,8;0,044664;-0,488134444444;-0,664087037037
1,85;0,018886;-0,499383333333;0,16760617284
1,9;-0,006857;-0,469523333333;0,955435802469
1,95;-0,0296;-0,400647222222;1,65244783951
2;-0,048271;-0,298506666667;2,19493024691
2,05;-0,060527;-0,171095555556;2,49722314815
2,1;-0,065536;-0,0377416666667;2,53452932099
2,15;-0,064046;0,0901811111111;2,36201944444
2,2;-0,056106;0,206108333333;1,99544351852
2,25;-0,042359;0,296170555556;1,4713
2,3;-0,025319;0,35668;0,855916049383
2,35;-0,005366;0,383532777778;0,197467901235
2,4;0,014448;0,375398333333;-0,436981481481
2,45;0,033379;0,3367;-0,998637962963
2,5;0,049136;0,271497222222;-1,45685277778
2,55;0,061288;0,186647222222;-1,78979783951
2,6;0,068587;0,0848983333333;-1,93645
2,65;0,069731;-0,0168272222222;-1,86039722222
2,7;0,066298;-0,106266111111;-1,64463271605
2,75;0,058723;-0,18435;-1,33485679012
2,8;0,047143;-0,243746111111;-0,930612037037
2,85;0,033413;-0,280053333333;-0,465164197531
2,9;0,018106;-0,290845555556;0,0179317901235
2,95;0,003354;-0,276860555556;0,47240462963
3;-0,010358;-0,242135;0,883903703704
3,05;-0,021765;-0,185641111111;1,21700246914
3,1;-0,029496;-0,115049444444;1,41923055556
3,15;-0,033553;-0,03739;1,47005925926
3,2;-0,033085;0,0375772222222;1,38036080247
3,25;-0,029462;0,104357777778;1,18766265432
3,3;-0,022268;0,160335;0,896445061728
3,35;-0,012629;0,197125;0,531907716049
3,4;-0,001777;0,214378333333;0,142864506173
3,45;0,009629;0,210902777778;-0,234416975309
3,5;0,020048;0,188986111111;-0,563150308642
3,55;0,029149;0,151560555556;-0,818233333333
3,6;0,035598;0,103607777778;-0,983327469136
3,65;0,039741;0,0498461111111;-1,05719320988
3,7;0,040746;-0,00686666666667;-1,01790216049
3,75;0,038701;-0,0560983333333;-0,880417283951
3,8;0,034783;-0,096715;-0,690761728395
3,85;0,028594;-0,126195;-0,470238271605
3,9;0,021729;-0,144385;-0,232175617284
3,95;0,013668;-0,1501;0,020512962963
4;0,00618;-0,142260555556;0,268161728395
4,05;-0,001049;-0,122232777778;0,486904938272
4,1;-0,006527;-0,0907983333333;0,641722222222
4,15;-0,010254;-0,0550688888889;0,723733333333
4,2;-0,012161;-0,0162094444444;0,742257716049
4,25;-0,011901;0,0223716666667;0,682313271605
4,3;-0,009682;0,0553461111111;0,546448765432
4,35;-0,005938;0,0784327777778;0,371402469136
4,4;-0,001517;0,0928605555556;0,182545061728
4,45;0,00377;0,0967788888889;-0,00787314814815
4,5;0,00852;0,0914633333333;-0,181441975309
4,55;0,01327;0,0774861111111;-0,323711419753
4,6;0,016563;0,0565894444444;-0,407525
4,65;0,018956;0,0342855555556;-0,432418209877
4,7;0,020013;0,011525;-0,410093209877
4,75;0,019978;-0,00814611111111;-0,352376851852
4,8;0,01906;-0,0244127777778;-0,27707962963
4,85;0,017326;-0,03579;-0,200220987654
4,9;0,015367;-0,0440222222222;-0,128628703704
4,95;0,012819;-0,0490211111111;-0,0490614197531
5;0,010305;-0,0497627777778;0,0436268518519
5,05;0,007566;-0,0445477777778;0,131769753086
5,1;0,00566;-0,034785;0,184038888889
5,15;0,004151;-0,0252333333333;0,211147222222
5,2;0,00299;-0,013;0,21575617284
5,25;0,002886;-0,00186944444444;0,182172530864
5,3;0,002955;0,00620222222222;0,126313271605
